 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.50180334 0.0 0.75201238 0.0 0.0 0.0 0.21875
2 0.5020412 0.0 0.83599181 0.0 0.0 0.0 0.3285
3 0.5016781 0.0 0.87782916 0.0 0.0 0.0 0.41363
4 0.50201245 0.0 0.90318741 0.0 0.0 0.0 0.48113
5 0.50011434 0.0 0.92021176 0.0 0.0 0.0 0.53851
6 0.50062017 0.0 0.93227275 0.0 0.0 0.0 0.58699
7 0.5020192 0.0 0.94157619 0.0 0.0 0.0 0.63026
8 0.50116953 0.0 0.94881536 0.0 0.0 0.0 0.66756
9 0.50130501 0.0 0.95467402 0.0 0.0 0.0 0.69961
10 0.50058258 0.0 0.95946659 0.0 0.0 0.0 0.72845
11 0.5010414 0.0 0.96352645 0.0 0.0 0.0 0.75383
12 0.50060391 0.0 0.96702971 0.0 0.0 0.0 0.77636
13 0.50278938 0.0 0.97001256 0.0 0.0 0.0 0.7965
14 0.50235345 0.0 0.9726193 0.0 0.0 0.0 0.81541
15 0.5025333 0.0 0.97497167 0.0 0.0 0.0 0.83193
16 0.50163826 0.0 0.97703808 0.0 0.0 0.0 0.8469
17 0.50147285 0.0 0.97886461 0.0 0.0 0.0 0.86028
18 0.50247634 0.0 0.98053089 0.0 0.0 0.0 0.87254
19 0.50107031 0.0 0.98203793 0.0 0.0 0.0 0.88344
20 0.50221189 0.0 0.98341055 0.0 0.0 0.0 0.89324
21 0.50393952 0.0 0.98468985 0.0 0.0 0.0 0.90244
22 0.50342889 0.0 0.98586643 0.0 0.0 0.0 0.9108
23 0.50162957 0.0 0.98698662 0.0 0.0 0.0 0.91855
24 0.504401 0.0 0.98801836 0.0 0.0 1e-05 0.9254
25 0.50401732 0.0 0.98901426 0.0 0.0 1e-05 0.93189
26 0.50366044 0.0 0.9899388 0.0 0.0 1e-05 0.93755
27 0.5022344 0.0 0.990778 0.0 0.0 1e-05 0.94245
28 0.50513638 0.0 0.99157608 0.0 0.0 1e-05 0.94714
29 0.50311093 0.0 0.99231934 0.0 0.0 1e-05 0.9512
