 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.49904333 0.00085 0.74842999 0.00752 0.19212 0.1294 0.19139
2 0.4993744 0.00106 0.83157463 0.01287 0.28913 0.16709 0.21181
3 0.49988371 0.00084 0.87312982 0.01831 0.36315 0.18487 0.21191
4 0.50185211 0.00102 0.89816634 0.02274 0.42381 0.19627 0.19852
5 0.5013839 0.00113 0.91450697 0.0269 0.47458 0.19939 0.18305
6 0.50020129 0.00096 0.92611469 0.03088 0.51802 0.19808 0.16693
7 0.50168555 0.00101 0.93464061 0.03506 0.55517 0.19504 0.14878
8 0.50078193 0.00093 0.94122436 0.03884 0.58702 0.19067 0.13202
9 0.49863008 0.00095 0.94612934 0.04275 0.61415 0.18411 0.11754
10 0.5002139 0.0008 0.9503012 0.0466 0.6387 0.17736 0.10326
11 0.50035221 0.00109 0.95356639 0.04993 0.66041 0.16998 0.09065
12 0.50112279 0.00099 0.95632445 0.05349 0.67892 0.16249 0.0797
13 0.50029256 0.00117 0.95857705 0.0568 0.69598 0.15387 0.07026
14 0.49944383 0.00105 0.96043476 0.06036 0.70993 0.1467 0.0612
15 0.50198231 0.00101 0.96209716 0.06389 0.72315 0.13865 0.05345
16 0.49982767 0.00106 0.96349142 0.06692 0.7355 0.13049 0.04673
17 0.50175517 0.00103 0.96466558 0.06989 0.74612 0.12266 0.041
18 0.49874992 0.00094 0.96557155 0.07308 0.75476 0.11562 0.03587
19 0.4996602 0.00108 0.96633685 0.07582 0.76301 0.1086 0.03149
20 0.50293365 0.00096 0.96706646 0.07871 0.76983 0.10234 0.02767
21 0.50040219 0.00098 0.96763838 0.08188 0.77576 0.09605 0.02422
22 0.50072481 0.00104 0.9681371 0.0849 0.78125 0.08979 0.02119
23 0.5000078 0.00088 0.96862972 0.08807 0.78542 0.08434 0.01858
24 0.50138473 0.00089 0.96902117 0.0909 0.7894 0.07909 0.01631
25 0.500499 0.00096 0.96930927 0.09337 0.79274 0.07437 0.01437
26 0.49940031 0.00098 0.96948893 0.09597 0.79548 0.06981 0.01272
27 0.50000898 0.00102 0.96962744 0.09863 0.798 0.06528 0.01116
28 0.50111931 0.00103 0.9697471 0.10121 0.80021 0.06117 0.00955
29 0.50009169 0.00106 0.96976961 0.10364 0.80198 0.05716 0.00833
30 0.4998957 0.00106 0.96972016 0.1058 0.8035 0.05348 0.00728
31 0.50062031 0.00099 0.9697386 0.10855 0.80397 0.05017 0.0064
32 0.50152991 0.00106 0.96972709 0.11098 0.80471 0.04676 0.00559
33 0.50020863 0.00121 0.96951906 0.11325 0.80476 0.04384 0.00499
34 0.50009861 0.00105 0.9694077 0.11549 0.80463 0.04135 0.00434
35 0.50084799 0.00095 0.96932494 0.118 0.80453 0.03861 0.00373
36 0.49975764 0.001 0.9692212 0.12019 0.8043 0.03619 0.00319
37 0.50015514 0.00087 0.96914388 0.12253 0.80381 0.03383 0.00283
38 0.50201501 0.001 0.96897914 0.12479 0.8033 0.03142 0.0025
39 0.49995445 0.00098 0.96878997 0.12689 0.8024 0.0295 0.00224
40 0.49980119 0.00087 0.9686441 0.12894 0.80148 0.02772 0.00204
41 0.50237348 0.00102 0.96850202 0.13137 0.8002 0.02577 0.00182
42 0.50044209 0.00107 0.96819999 0.13347 0.79909 0.02393 0.00161
43 0.50033112 0.00108 0.96793449 0.13564 0.79772 0.02226 0.0014
44 0.49999064 0.00098 0.9677495 0.13779 0.79617 0.02086 0.00122
45 0.49963716 0.00097 0.96755506 0.13992 0.7944 0.0197 0.00105
46 0.49890035 0.00089 0.96734392 0.14211 0.79261 0.01854 0.00092
47 0.50118471 0.00076 0.96719959 0.1442 0.79095 0.01746 0.00081
48 0.50104842 0.00087 0.96704038 0.1462 0.7893 0.01639 0.00066
49 0.50087427 0.00105 0.96671151 0.14807 0.78757 0.01527 0.00059
50 0.50026447 0.00099 0.96645946 0.15018 0.78563 0.01421 0.00049
51 0.50055569 0.00109 0.96609111 0.15204 0.78378 0.01317 0.00043
52 0.50154423 0.00087 0.96585021 0.15393 0.78212 0.0121 0.0004
53 0.49858363 0.00104 0.96551711 0.15598 0.77994 0.01124 0.00035
54 0.50084162 0.00131 0.96504824 0.15758 0.77773 0.0106 0.00029
55 0.50080422 0.00102 0.96467126 0.15954 0.77538 0.01002 0.00024
56 0.50007841 0.00104 0.96432578 0.16148 0.77309 0.00936 0.00021
57 0.49911836 0.00112 0.96391228 0.16307 0.77105 0.00873 0.00017
58 0.50150083 0.00106 0.96354567 0.16478 0.76884 0.00819 0.00015
59 0.49972141 0.0009 0.96319194 0.1665 0.7667 0.00771 0.00015
60 0.49822024 0.00093 0.96289741 0.16834 0.76449 0.00719 0.00011
61 0.49976187 0.00089 0.96258614 0.17015 0.76225 0.00673 0.00011
62 0.50163961 0.0009 0.96225265 0.17217 0.75988 0.0062 9e-05
63 0.50092494 0.00094 0.96190875 0.17434 0.75723 0.00575 8e-05
64 0.49934123 0.00083 0.96162511 0.17639 0.75473 0.00539 6e-05
65 0.50128892 0.00096 0.9613118 0.17825 0.75237 0.00493 6e-05
66 0.50037599 0.00098 0.96094355 0.18009 0.74982 0.00466 6e-05
67 0.50145055 0.00078 0.96071715 0.1819 0.74752 0.00438 5e-05
68 0.50107992 0.00094 0.96033168 0.18382 0.74493 0.00412 4e-05
69 0.50009961 0.00095 0.95995534 0.18551 0.74263 0.00378 4e-05
70 0.49877282 0.00102 0.95954477 0.187 0.7404 0.00352 2e-05
71 0.5024093 0.00098 0.95916219 0.18861 0.738 0.00333 2e-05
72 0.50004204 0.00098 0.95875781 0.18998 0.73583 0.00315 2e-05
73 0.50046111 0.00107 0.95827113 0.19144 0.73347 0.00298 2e-05
74 0.50255932 0.00089 0.95787757 0.19299 0.73124 0.00277 2e-05
75 0.50231441 0.00092 0.95746772 0.1946 0.72891 0.00257 2e-05
76 0.50015547 0.00113 0.95696986 0.1961 0.72651 0.00234 2e-05
77 0.50105886 0.00094 0.95660505 0.19805 0.72376 0.0022 2e-05
78 0.50230282 0.00121 0.95611875 0.1995 0.72122 0.00208 2e-05
79 0.50065358 0.00103 0.95565994 0.20084 0.71892 0.00201 2e-05
80 0.49980206 0.00107 0.95522843 0.20217 0.71667 0.00186 2e-05
81 0.49987478 0.00118 0.95472247 0.20372 0.71406 0.00174 2e-05
82 0.50175169 0.00096 0.9543229 0.20501 0.71197 0.00158 2e-05
83 0.50154638 0.00097 0.95383126 0.20647 0.70963 0.00149 2e-05
84 0.50062754 0.00092 0.95345256 0.20807 0.70718 0.00142 2e-05
85 0.50082436 0.00121 0.95293444 0.20956 0.70462 0.00128 2e-05
86 0.50020887 0.00111 0.95244296 0.21082 0.70235 0.00118 2e-05
87 0.50086789 0.00095 0.95207897 0.21253 0.69977 0.0011 2e-05
88 0.50029594 0.00101 0.95162797 0.21383 0.69752 0.00104 2e-05
89 0.49932777 0.00106 0.95118518 0.21532 0.69509 0.00092 2e-05
90 0.50087521 0.00096 0.95076299 0.21688 0.69258 0.00091 2e-05
91 0.49953885 0.00105 0.95032623 0.21812 0.69034 0.00086 2e-05
92 0.50067432 0.00093 0.9498537 0.21975 0.68781 0.00084 1e-05
93 0.50065023 0.00098 0.94942863 0.2209 0.68572 0.0008 1e-05
94 0.49921943 0.00084 0.94909072 0.22213 0.68373 0.00072 1e-05
95 0.50178495 0.00129 0.94857171 0.22325 0.68139 0.00065 1e-05
96 0.50095402 0.00094 0.94821521 0.22475 0.67898 0.00062 1e-05
97 0.4992983 0.00103 0.94770927 0.22585 0.67695 0.00052 1e-05
98 0.50125565 0.00119 0.94719959 0.22688 0.67477 0.00048 1e-05
99 0.50040556 0.00095 0.94678321 0.22846 0.67229 0.00043 1e-05
100 0.5015552 0.00102 0.94634209 0.22963 0.67014 0.00039 1e-05
101 0.5007002 0.001 0.94585859 0.23094 0.66784 0.00038 1e-05
102 0.49989694 0.00107 0.94536383 0.23238 0.66535 0.00036 1e-05
103 0.50054475 0.00103 0.94488037 0.23389 0.66284 0.00033 1e-05
104 0.50202628 0.00112 0.94436562 0.23468 0.66093 0.00033 1e-05
105 0.50086459 0.00092 0.94400604 0.2359 0.65879 0.00033 1e-05
106 0.50077662 0.00114 0.94346172 0.23686 0.65672 0.0003 1e-05
107 0.50119517 0.00108 0.9429725 0.23794 0.65459 0.00027 1e-05
108 0.50131495 0.00092 0.94256298 0.23949 0.65214 0.00025 1e-05
109 0.50065999 0.00101 0.94209012 0.24057 0.65005 0.00025 1e-05
110 0.49998894 0.00084 0.9417496 0.2421 0.6477 0.00023 1e-05
111 0.50065366 0.00113 0.94122606 0.24324 0.64545 0.00021 1e-05
112 0.50050101 0.00108 0.94075253 0.24418 0.64344 0.0002 1e-05
113 0.50120622 0.00115 0.94025157 0.24532 0.64116 0.00019 1e-05
114 0.49916588 0.00108 0.9396991 0.24632 0.63909 0.00018 1e-05
115 0.49911412 0.00099 0.93925256 0.24745 0.63699 0.00016 1e-05
116 0.5002519 0.00082 0.93888106 0.2487 0.63495 0.00013 1e-05
117 0.50055277 0.00114 0.93834917 0.24974 0.63279 0.00012 0.0
118 0.49969514 0.0008 0.93799803 0.25096 0.63079 0.0001 0.0
119 0.50170125 0.0009 0.93758242 0.25227 0.62859 9e-05 0.0
120 0.500512 0.00089 0.93718713 0.25348 0.6265 8e-05 0.0
