 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.50086274 0.0 0.7521133 0.0 0.0 0.10626 0.29118
2 0.50043861 0.0 0.83516854 0.0 2e-05 0.17034 0.38013
3 0.50101928 0.0 0.87716258 0.0 3e-05 0.22456 0.42978
4 0.50081244 0.0 0.90248427 0.0 4e-05 0.27102 0.45777
5 0.50009384 0.0 0.91916116 0.0 6e-05 0.31264 0.47191
6 0.50172672 0.0 0.93135554 0.0 6e-05 0.35063 0.47645
7 0.50009138 0.0 0.94066121 0.0 9e-05 0.38406 0.47672
8 0.50041144 0.0 0.94769392 0.0 9e-05 0.41504 0.47104
9 0.50107129 0.0 0.95340013 0.0 0.00011 0.44357 0.46359
10 0.49998849 0.0 0.95800316 0.0 0.00013 0.47051 0.4533
11 0.50088755 0.0 0.96191779 0.0 0.00015 0.49581 0.44141
12 0.5012315 0.0 0.96533758 0.0 0.00017 0.51993 0.42871
13 0.49999108 0.0 0.96825134 0.0 0.00019 0.54225 0.41524
14 0.50107508 0.0 0.97071631 0.0 0.00024 0.5628 0.40142
15 0.50200068 0.0 0.97291882 0.0 0.00028 0.58268 0.38774
16 0.50230543 0.0 0.97493216 0.0 0.00029 0.60231 0.37318
17 0.5006026 0.0 0.97666702 0.0 0.00032 0.61998 0.35922
18 0.50084807 0.0 0.97825927 0.0 0.00033 0.63609 0.34663
19 0.50254343 0.0 0.97965597 0.0 0.00035 0.65068 0.33496
20 0.50107526 0.0 0.98093297 0.0 0.00036 0.66554 0.32239
21 0.50299367 0.0 0.98212599 0.0 0.00038 0.67915 0.31051
22 0.50030673 0.0 0.98323254 0.0 0.00039 0.692 0.29926
23 0.500716 0.0 0.98424503 0.0 0.00041 0.70495 0.28772
24 0.50180444 0.0 0.98519963 0.0 0.00045 0.71733 0.2764
25 0.50261315 0.0 0.9860771 0.0 0.00046 0.72919 0.26552
26 0.50361934 0.0 0.98690431 0.0 0.00047 0.74087 0.25452
27 0.50242438 0.0 0.98768572 0.0 0.00049 0.75165 0.24442
28 0.50231486 0.0 0.98839543 0.0 0.00051 0.76136 0.23527
29 0.50008707 0.0 0.98903401 0.0 0.00054 0.77034 0.22665
30 0.50307826 0.0 0.98966238 0.0 0.00054 0.77939 0.21801
31 0.50243696 0.0 0.99026796 0.0 0.00058 0.78837 0.20924
32 0.50173661 0.0 0.99084417 0.0 0.0006 0.79653 0.20137
33 0.5012335 0.0 0.99136747 0.0 0.00061 0.80415 0.19395
34 0.5025791 0.0 0.99188301 0.0 0.00065 0.81176 0.1865
35 0.50150885 0.0 0.99238144 0.0 0.00067 0.81973 0.17872
36 0.50154111 0.0 0.99284626 0.0 0.00068 0.82685 0.17177
37 0.50030206 0.0 0.99326452 0.0 0.0007 0.83299 0.1657
38 0.50255762 0.0 0.99368175 0.0 0.00073 0.83928 0.15948
39 0.50259669 0.0 0.99408261 0.0 0.00078 0.84503 0.15377
40 0.50259093 0.0 0.9944809 0.0 0.0008 0.8512 0.14762
41 0.5023516 0.0 0.99483745 0.0 0.00083 0.85646 0.14238
42 0.50289305 0.0 0.9952089 0.0 0.00089 0.86205 0.13677
43 0.50234205 0.0 0.99558387 0.0 0.00094 0.86728 0.13158
44 0.50243309 0.0 0.99593003 0.0 0.00099 0.87252 0.12632
45 0.50370431 0.0 0.99628004 0.0 0.00103 0.87771 0.12112
46 0.5026333 0.0 0.99659587 0.0 0.00105 0.88214 0.11669
47 0.50339189 0.0 0.9969191 0.0 0.00105 0.88659 0.11227
48 0.50295404 0.0 0.99722788 0.0 0.00111 0.89085 0.10797
49 0.50348201 0.0 0.99752982 0.0 0.00116 0.89513 0.10364
50 0.50280945 0.0 0.99782779 0.0 0.00123 0.89932 0.09939
51 0.50230477 0.0 0.9981056 0.0 0.00129 0.90296 0.09569
52 0.50458488 0.0 0.99837367 0.0 0.00134 0.90635 0.09227
53 0.50267746 0.0 0.99862195 0.0 0.00139 0.90961 0.08896
54 0.50312201 0.0 0.99887377 0.0 0.00142 0.91268 0.08587
55 0.50226867 0.0 0.99912249 0.0 0.00147 0.91589 0.08261
56 0.50278664 0.0 0.99936822 0.0 0.00156 0.91899 0.07943
57 0.50423314 0.0 0.99961535 0.0 0.00163 0.92197 0.07638
58 0.50330417 0.0 0.99984869 0.0 0.00169 0.92499 0.0733
59 0.5048055 0.0 1.00008322 0.0 0.00178 0.92767 0.07053
60 0.50392199 0.0 1.00031445 0.0 0.00181 0.93047 0.06771
61 0.50330774 0.0 1.00054661 0.0 0.00189 0.93324 0.06486
62 0.50310378 0.0 1.00076441 0.0 0.00194 0.93574 0.06231
63 0.50428597 0.0 1.00097666 0.0 0.00203 0.9381 0.05986
64 0.50368685 0.0 1.00118251 0.0 0.00213 0.94034 0.05753
65 0.50418629 0.0 1.00138798 0.0 0.00219 0.94277 0.05504
66 0.50188418 0.0 1.00158085 0.0 0.00225 0.9447 0.05305
67 0.50358157 0.0 1.00177251 0.0 0.00235 0.94668 0.05097
68 0.50568822 0.0 1.00197352 0.0 0.00245 0.94864 0.04891
69 0.50283746 0.0 1.00216329 0.0 0.00249 0.95042 0.04709
70 0.50361348 0.0 1.00233824 0.0 0.00253 0.952 0.04547
71 0.50260734 0.0 1.00252225 0.0 0.00261 0.95385 0.04354
72 0.50521122 0.0 1.00271129 0.0 0.0027 0.95542 0.04188
73 0.50341359 0.0 1.00288693 0.0 0.00276 0.95721 0.04003
74 0.50399454 0.0 1.00306779 0.0 0.00288 0.95871 0.03841
75 0.50554873 0.0 1.00323968 0.0 0.00294 0.96002 0.03704
76 0.50413382 0.0 1.00341042 0.0 0.00309 0.96141 0.0355
77 0.50428729 0.0 1.00358044 0.0 0.00321 0.96277 0.03402
78 0.50491848 0.0 1.00375241 0.0 0.00337 0.96392 0.03271
79 0.50424026 0.0 1.0039202 0.0 0.0035 0.96521 0.03129
80 0.50367795 0.0 1.00407546 0.0 0.00363 0.96636 0.03001
81 0.50362753 0.0 1.00423931 0.0 0.00372 0.96764 0.02864
82 0.50363364 0.0 1.0043993 0.0 0.00381 0.9688 0.02739
83 0.50401899 0.0 1.00454874 0.0 0.00392 0.96967 0.02641
84 0.5051756 0.0 1.00470927 0.0 0.00402 0.97072 0.02526
85 0.50609458 0.0 1.00486763 0.0 0.00411 0.97152 0.02437
86 0.50405596 0.0 1.00501536 0.0 0.00424 0.97238 0.02338
87 0.50451119 0.0 1.00515688 0.0 0.00435 0.97327 0.02238
88 0.50474453 0.0 1.00530052 0.0 0.00446 0.97394 0.0216
