position baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.5004382057000002 0.0 0.7513147415000003 0.0 0.0 0.0 0.21693720000000005
2 0.5005991554000001 0.0 0.8352874139999996 0.0 0.0 0.0 0.3265948999999999
3 0.5004986893 0.0 0.8775280119999996 0.0 0.0 5e-07 0.41162439999999995
4 0.5007590395 0.0 0.9029956711000007 0.0 0.0 6e-07 0.4803739000000001
5 0.5009760511000001 0.0 0.9200416224999997 0.0 0.0 1e-06 0.5380649
6 0.5008455476 0.0 0.9322381306000002 0.0 0.0 1.4000000000000001e-06 0.5871862000000001
7 0.5011702221000001 0.0 0.9414908892999998 0.0 0.0 1.8000000000000001e-06 0.6296909999999998
8 0.5011783267 0.0 0.9487655471999994 0.0 0.0 2.4e-06 0.6669876000000001
9 0.5013169914 0.0 0.9546184998999999 0.0 0.0 3.1000000000000017e-06 0.6993152999999999
10 0.5012816014000001 0.0 0.9594343786000005 0.0 0.0 3.4000000000000026e-06 0.7280278999999997
11 0.5016284355999999 0.0 0.9634959417000001 0.0 0.0 3.600000000000003e-06 0.7536700999999998
12 0.5015099627 0.0 0.9669529575999999 0.0 0.0 4.300000000000004e-06 0.7764618
13 0.5015443875999999 0.0 0.9699626394 0.0 0.0 5.100000000000004e-06 0.7968681999999997
14 0.5018112496999998 0.0 0.9725931911 0.0 0.0 5.500000000000006e-06 0.8153204000000005
15 0.5018789951 0.0 0.9749141418000005 0.0 0.0 6.000000000000006e-06 0.8316944999999998
16 0.5021336934000002 0.0 0.9769850303 0.0 0.0 6.500000000000006e-06 0.8465276999999998
17 0.5020985732 0.0 0.9788454159 0.0 0.0 7.000000000000008e-06 0.8599673000000007
18 0.5022094583999998 0.0 0.9805358719 0.0 0.0 7.700000000000011e-06 0.8721903000000002
19 0.5023505645999998 0.0 0.9820645816999997 0.0 0.0 8.600000000000013e-06 0.8831566
20 0.502507302 0.0 0.9834710239000003 0.0 0.0 9.600000000000015e-06 0.8930285000000001
21 0.5024866673999999 0.0 0.9847648033999996 0.0 0.0 1.0200000000000014e-05 0.9020810999999999
22 0.5024276873 0.0 0.9859604940999998 0.0 0.0 1.1000000000000013e-05 0.9103501999999998
23 0.5026874231999998 0.0 0.9870705087999997 0.0 0.0 1.1800000000000016e-05 0.9178656999999998
24 0.5026624866000001 0.0 0.9881087547000004 0.0 0.0 1.2700000000000017e-05 0.9247915
25 0.5027639254999999 0.0 0.9890773557 0.0 0.0 1.3800000000000019e-05 0.9309942999999996
26 0.5031433895999998 0.0 0.9899860057 0.0 0.0 1.4700000000000022e-05 0.9366539000000002
27 0.5029630885000002 0.0 0.9908467532999999 0.0 0.0 1.5500000000000024e-05 0.9419104000000003
28 0.5032328397000003 0.0 0.9916597052999999 0.0 0.0 1.6400000000000023e-05 0.9467266
29 0.5032029864000002 0.0 0.9924256217000001 0.0 0.0 1.8200000000000026e-05 0.9510945000000003
30 0.5031746934999999 0.0 0.9931524391000004 0.0 0.0 1.980000000000003e-05 0.9550449000000001
31 0.5034907574999997 0.0 0.9938459818999996 0.0 0.0 2.110000000000003e-05 0.9587005
32 0.5036189015 0.0 0.9945079066000005 0.0 0.0 2.240000000000003e-05 0.9620682
33 0.5038316159 0.0 0.9951402197 0.0 0.0 2.3900000000000032e-05 0.9651636000000002
34 0.5036215056000001 0.0 0.9957444301000004 0.0 0.0 2.5000000000000035e-05 0.9680278000000001
35 0.5041263240999999 0.0 0.9963260004000003 0.0 0.0 2.730000000000004e-05 0.9706404
36 0.5038616857 0.0 0.9968833852999999 0.0 0.0 2.880000000000004e-05 0.9729633
37 0.5041915838000002 0.0 0.9974214392999998 0.0 0.0 3.0500000000000037e-05 0.9751455000000003
38 0.5043905476999999 0.0 0.9979405402000002 0.0 0.0 3.200000000000004e-05 0.9771706
39 0.5043450757 0.0 0.9984393344 0.0 0.0 3.4500000000000046e-05 0.9790161000000002
40 0.5043842243999997 0.0 0.9989242485000002 0.0 0.0 3.6400000000000045e-05 0.9807328999999996
41 0.5045320960999998 0.0 0.9993932838999996 0.0 0.0 3.8700000000000046e-05 0.9822522999999999
42 0.5047455289000002 0.0 0.9998470430000002 0.0 0.0 4.090000000000005e-05 0.9836576000000001
43 0.5046983204 0.0 1.0002873609 0.0 0.0 4.3100000000000045e-05 0.9849612000000002
44 0.5047487288000001 0.0 1.0007123653999996 0.0 0.0 4.570000000000002e-05 0.9861568000000002
45 0.5048741178999999 0.0 1.0011268099999997 0.0 0.0 4.960000000000003e-05 0.9872548000000007
46 0.5051126968999999 0.0 1.0015308032000003 0.0 0.0 5.250000000000001e-05 0.988261
47 0.5051021929999999 0.0 1.0019267347 0.0 0.0 5.500000000000003e-05 0.9891962
48 0.5053574618 0.0 1.0023125815 0.0 0.0 5.780000000000003e-05 0.9900619999999999
49 0.505349778 0.0 1.0026850236000002 0.0 0.0 6.13e-05 0.9908413
50 0.5053862720000002 0.0 1.0030535625999997 0.0 0.0 6.550000000000002e-05 0.9915696000000002
51 0.5055410702999997 0.0 1.0034131015999999 0.0 0.0 6.79e-05 0.9922414
52 0.5056842563000005 0.0 1.0037660733999998 0.0 0.0 7.110000000000001e-05 0.9928530999999997
53 0.5059570655999996 0.0 1.0041102045000003 0.0 0.0 7.490000000000002e-05 0.9934001000000002
54 0.5058703695 0.0 1.0044467822999998 0.0 0.0 8.030000000000003e-05 0.9939150000000002
55 0.5057341397999999 0.0 1.0047781966 0.0 0.0 8.370000000000003e-05 0.9943913000000002
56 0.5059545192999999 0.0 1.0051038652000002 0.0 0.0 8.830000000000003e-05 0.9948248000000001
57 0.5061450875 0.0 1.0054236199 0.0 0.0 9.190000000000004e-05 0.9952225000000001
58 0.5061019394000001 0.0 1.0057357201 0.0 0.0 9.680000000000001e-05 0.9955891
59 0.5062869415999998 0.0 1.0060446534000003 0.0 0.0 0.00010210000000000004 0.9959369000000002
60 0.5065457483999998 0.0 1.0063491979999994 0.0 0.0 0.00010680000000000002 0.9962592000000001
61 0.5066762575999999 0.0 1.0066500220000005 0.0 0.0 0.00011300000000000001 0.9965526999999997
62 0.5066454909 0.0 1.0069445917 0.0 0.0 0.00011880000000000001 0.9968106000000003
63 0.5065347943 0.0 1.0072346202 0.0 0.0 0.00012520000000000006 0.9970409999999995
64 0.5068656211 0.0 1.0075199875000007 0.0 0.0 0.0001331 0.9972654
65 0.5071358524000003 0.0 1.0078032338999998 0.0 0.0 0.00014130000000000007 0.9974661000000001
66 0.5070168733000001 0.0 1.0080844097999997 0.0 0.0 0.00014790000000000007 0.9976572999999997
67 0.5071534637999999 0.0 1.0083594075 0.0 0.0 0.0001556 0.9978230999999999
68 0.5072643709999997 0.0 1.0086317687 0.0 0.0 0.00016250000000000005 0.9979834000000001
69 0.5072990954000002 0.0 1.0089002892999996 0.0 0.0 0.00017050000000000005 0.9981255999999997
70 0.5074013911 0.0 1.0091673638999996 0.0 0.0 0.00017930000000000013 0.9982538000000002
71 0.5074271488999997 0.0 1.0094322243000002 0.0 0.0 0.0001877 0.9983703000000003
72 0.5076368368 0.0 1.0096944353000001 0.0 0.0 0.0001981 0.9984784000000001
73 0.5077108402 0.0 1.0099523707999998 0.0 0.0 0.0002063 0.9985731000000002
74 0.5078850198999999 0.0 1.0102075265 0.0 0.0 0.0002171 0.9986618
75 0.5080592553 0.0 1.0104614122000002 0.0 0.0 0.00022739999999999992 0.9987476000000002
76 0.5079815835 0.0 1.0107135543000003 0.0 0.0 0.00023829999999999983 0.9988207999999997
77 0.5081242954999999 0.0 1.0109634545000001 0.0 0.0 0.00024829999999999996 0.9988939999999994
78 0.5083449336 0.0 1.0112111206 0.0 0.0 0.0002595999999999999 0.9989542
79 0.5084802252999999 0.0 1.0114551299 0.0 0.0 0.0002727 0.9990011000000003
80 0.5085410320000001 0.0 1.0116989134 0.0 0.0 0.0002877 0.9990419000000001
81 0.5086785677 0.0 1.0119423023000003 0.0 0.0 0.00030179999999999996 0.9990832999999999
82 0.5085861942000001 0.0 1.0121834378999999 0.0 0.0 0.0003175 0.9991203000000002
83 0.5086476186999999 0.0 1.0124214540999998 0.0 0.0 0.00033299999999999996 0.9991536000000005
84 0.5087539668000001 0.0 1.0126574515999995 0.0 0.0 0.0003513999999999999 0.9991766999999999
85 0.50891635 0.0 1.0128933245999996 0.0 0.0 0.0003663999999999999 0.9992021999999997
86 0.5091084268000001 0.0 1.0131281927000002 0.0 0.0 0.0003847 0.9992177000000004
87 0.5092045702 0.0 1.0133620177999998 0.0 0.0 0.0004046999999999999 0.9992335
88 0.5092250042999996 0.0 1.0135928979 0.0 0.0 0.00042140000000000027 0.9992508
89 0.5096026196000001 0.0 1.0138222526999998 0.0 0.0 0.0004428999999999997 0.999262
90 0.5093911811 0.0 1.014050469 0.0 0.0 0.0004641000000000001 0.9992641999999999
91 0.5095661615 0.0 1.0142795946 0.0 0.0 0.00048589999999999994 0.9992660000000002
92 0.5094373089000003 0.0 1.014506737 0.0 0.0 0.0005071 0.9992656
93 0.5095966966000001 0.0 1.0147321364 0.0 0.0 0.0005290000000000001 0.9992644000000003
94 0.5097819185 0.0 1.0149544509999997 0.0 0.0 0.0005536 0.9992574000000001
95 0.5099576069999999 0.0 1.0151773386 0.0 0.0 0.0005815999999999999 0.9992439000000003
96 0.5099442673999998 0.0 1.0154008133000003 0.0 0.0 0.0006073 0.9992326
97 0.5101711189999998 0.0 1.0156242660000006 0.0 0.0 0.0006332999999999999 0.9992203000000005
98 0.5101371481999998 0.0 1.0158446532 0.0 0.0 0.0006626 0.9992051000000006
99 0.5105137311999998 0.0 1.0160623861999998 0.0 0.0 0.0006936999999999999 0.9991847999999999
100 0.5105791807999998 0.0 1.0162813105999997 0.0 0.0 0.0007248999999999999 0.9991638999999999
101 0.5104490510999997 0.0 1.0164992462000004 0.0 0.0 0.0007614000000000002 0.9991374999999998
102 0.5105382673 0.0 1.0167183647000002 0.0 0.0 0.0007929999999999997 0.9991134999999999
103 0.5107412546999999 0.0 1.0169347954999999 0.0 0.0 0.0008245999999999998 0.9990881999999998
104 0.5108293511999998 0.0 1.01715032 0.0 0.0 0.0008630999999999999 0.9990571999999994
105 0.5110882568000001 0.0 1.0173661069000002 0.0 0.0 0.0009016999999999999 0.9990243000000002
106 0.5111831254999999 0.0 1.0175811794000003 0.0 0.0 0.0009423 0.9989909000000003
107 0.5110487109999999 0.0 1.0177946824 0.0 0.0 0.0009833999999999997 0.9989544000000002
108 0.5111865313000004 0.0 1.0180080881 0.0 0.0 0.0010198 0.9989231999999998
109 0.5111085728 0.0 1.018219323 0.0 0.0 0.0010641000000000001 0.9988845999999999
110 0.5114196116 0.0 1.0184317396999996 0.0 0.0 0.0011136 0.9988405000000001
111 0.5114588628999998 0.0 1.0186436992000003 0.0 0.0 0.0011603000000000002 0.9987976999999998
112 0.5116225170000002 0.0 1.0188562977000002 0.0 0.0 0.0012082 0.9987535
113 0.5117955551000002 0.0 1.0190683178999995 0.0 0.0 0.0012577999999999997 0.9987070999999997
114 0.5118591222 0.0 1.0192773940000002 0.0 0.0 0.0013123000000000002 0.9986561999999998
115 0.5119240707999999 0.0 1.0194857666999995 0.0 0.0 0.0013731 0.9985983999999997
116 0.5119909625000001 0.0 1.0196960626999998 0.0 0.0 0.0014346 0.9985387999999997
117 0.5121172918999999 0.0 1.0199061553999997 0.0 0.0 0.0014940000000000003 0.9984817000000001
118 0.5122925545999998 0.0 1.0201150087 0.0 0.0 0.0015539999999999992 0.9984234
119 0.5124258192000001 0.0 1.0203221091999997 0.0 0.0 0.0016202 0.9983601999999995
120 0.5124476256 0.0 1.0205296018 0.0 0.0 0.0016937999999999996 0.9982883
121 0.5124127874 0.0 1.0207377389999999 0.0 0.0 0.0017685999999999995 0.9982151000000004
122 0.5126740463000001 0.0 1.0209462432 0.0 0.0 0.0018409999999999993 0.9981439000000003
123 0.512724629 0.0 1.0211535066000001 0.0 0.0 0.0019102999999999998 0.9980762000000003
124 0.5128798217 0.0 1.0213591051000002 0.0 0.0 0.0019915999999999988 0.9979959000000003
125 0.5130669887999999 0.0 1.0215643962999998 0.0 0.0 0.0020790999999999995 0.9979091000000005
126 0.5128965956 0.0 1.0217705821000003 0.0 0.0 0.002163599999999999 0.9978255999999996
127 0.5129970413999998 0.0 1.0219775011999996 0.0 0.0 0.0022519999999999992 0.9977381000000001
128 0.5130828527 0.0 1.0221831919 0.0 0.0 0.0023364999999999996 0.9976548
129 0.5133000537000001 0.0 1.0223877652999995 0.0 0.0 0.0024357999999999993 0.9975565000000004
130 0.5133936684 0.0 1.0225917721000004 0.0 0.0 0.0025350999999999998 0.9974577000000001
131 0.5134961473000001 0.0 1.0227979058 0.0 0.0 0.0026393999999999996 0.9973540000000004
132 0.5138261719 0.0 1.0230042167000006 0.0 0.0 0.0027503 0.9972434000000006
133 0.5138412353999999 0.0 1.0232094931000004 0.0 0.0 0.0028557 0.9971383000000001
134 0.5137706998000002 0.0 1.0234136407 0.0 0.0 0.0029719000000000013 0.9970226
135 0.5140119998000001 0.0 1.0236170922 0.0 0.0 0.0030967000000000004 0.9968985
136 0.5139039251000002 0.0 1.0238210035000004 0.0 0.0 0.0032194 0.9967760000000001
137 0.5141004819 0.0 1.0240259787999997 0.0 0.0 0.003348200000000001 0.9966480999999999
138 0.5141521467999999 0.0 1.0242301128000002 0.0 0.0 0.0034736 0.9965230000000002
139 0.5141755398 0.0 1.0244329470000002 0.0 0.0 0.0036067 0.9963903999999999
140 0.5142921280000001 0.0 1.0246356440999997 0.0 0.0 0.0037492000000000016 0.9962482000000008
141 0.5147301665000001 0.0 1.0248384437 0.0 0.0 0.0038965 0.9961010999999997
142 0.5148118047000001 0.0 1.0250416840999994 0.0 0.0 0.004040499999999999 0.9959575000000003
143 0.5145999548000001 0.0 1.0252447911000002 0.0 0.0 0.004189900000000001 0.9958082
144 0.5145747406000001 0.0 1.0254468497 0.0 0.0 0.004358500000000002 0.9956398999999999
145 0.5148284286999999 0.0 1.0256495541 0.0 0.0 0.0045252999999999995 0.9954732000000007
146 0.5151197620000002 0.0 1.0258527453000001 0.0 0.0 0.0047059 0.9952927000000004
