 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.49985057 0.0 0.74994025 0.0 0.0 0.0 0.21707
2 0.49935914 0.0 0.8348941 0.0 0.0 0.0 0.32624
3 0.5016128 0.0 0.87704385 0.0 0.0 0.0 0.41068
4 0.49992214 0.0 0.90262682 0.0 0.0 0.0 0.47873
5 0.50058412 0.0 0.91980516 0.0 0.0 0.0 0.53631
6 0.50147871 0.0 0.9319508 0.0 0.0 0.0 0.58617
7 0.501695 0.0 0.94136752 0.0 0.0 0.0 0.62854
8 0.50046495 0.0 0.94849518 0.0 0.0 0.0 0.66573
9 0.49987856 0.0 0.95426863 0.0 0.0 0.0 0.69753
10 0.50300179 0.0 0.95914734 0.0 0.0 0.0 0.72729
11 0.50073183 0.0 0.96328028 0.0 0.0 0.0 0.75257
12 0.50148036 0.0 0.96686359 0.0 0.0 0.0 0.77626
13 0.50084268 0.0 0.96985338 0.0 0.0 0.0 0.79672
14 0.50158906 0.0 0.97244256 0.0 0.0 0.0 0.81514
15 0.50142349 0.0 0.9747701 0.0 0.0 0.0 0.83175
16 0.50063479 0.0 0.9768435 0.0 0.0 0.0 0.84672
17 0.50139458 0.0 0.97867468 0.0 0.0 0.0 0.85996
18 0.50365634 0.0 0.98041561 0.0 0.0 0.0 0.87231
19 0.50144447 0.0 0.98194014 0.0 0.0 0.0 0.88317
20 0.50332154 0.0 0.98337796 0.0 0.0 0.0 0.89318
21 0.50188313 0.0 0.98471441 0.0 0.0 0.0 0.90257
22 0.50243235 0.0 0.98592294 0.0 0.0 0.0 0.91093
23 0.50222877 0.0 0.98704438 0.0 0.0 0.0 0.91861
24 0.50278098 0.0 0.98808199 0.0 0.0 0.0 0.92522
25 0.5024109 0.0 0.98903026 0.0 0.0 0.0 0.93095
26 0.50394836 0.0 0.9899537 0.0 0.0 0.0 0.93671
27 0.50445643 0.0 0.99080925 0.0 0.0 0.0 0.94188
28 0.50355118 0.0 0.99164407 0.0 0.0 0.0 0.94695
29 0.50236608 0.0 0.9924169 0.0 0.0 0.0 0.95108
30 0.50286313 0.0 0.99313816 0.0 0.0 0.0 0.95503
31 0.5048296 0.0 0.99381786 0.0 0.0 1e-05 0.95867
32 0.50416676 0.0 0.99445369 0.0 0.0 1e-05 0.96182
33 0.50397344 0.0 0.99510759 0.0 0.0 1e-05 0.96506
34 0.50335313 0.0 0.9957178 0.0 0.0 1e-05 0.96792
35 0.50585248 0.0 0.99630823 0.0 0.0 2e-05 0.9707
36 0.50450828 0.0 0.99687563 0.0 0.0 2e-05 0.97295
37 0.50549977 0.0 0.99740466 0.0 0.0 2e-05 0.97511
38 0.50496744 0.0 0.99792083 0.0 0.0 2e-05 0.97712
39 0.5049595 0.0 0.9984143 0.0 0.0 2e-05 0.97888
40 0.50441888 0.0 0.99891724 0.0 0.0 3e-05 0.98089
41 0.50586066 0.0 0.99938004 0.0 0.0 4e-05 0.98242
42 0.50311776 0.0 0.99981829 0.0 0.0 4e-05 0.98373
43 0.50500529 0.0 1.00025729 0.0 0.0 4e-05 0.98507
44 0.50578654 0.0 1.0006654 0.0 0.0 4e-05 0.98623
45 0.50614091 0.0 1.00107901 0.0 0.0 4e-05 0.98724
46 0.50720351 0.0 1.00149004 0.0 0.0 5e-05 0.98827
47 0.50505355 0.0 1.00188093 0.0 0.0 5e-05 0.98912
48 0.50559602 0.0 1.00229471 0.0 0.0 6e-05 0.99006
49 0.50483956 0.0 1.00266758 0.0 0.0 6e-05 0.99074
50 0.50618019 0.0 1.00304451 0.0 0.0 6e-05 0.99143
51 0.50537913 0.0 1.00340718 0.0 0.0 6e-05 0.99203
52 0.50456177 0.0 1.0037414 0.0 0.0 6e-05 0.99269
53 0.50394829 0.0 1.00407712 0.0 0.0 8e-05 0.99319
54 0.50687976 0.0 1.00442749 0.0 0.0 8e-05 0.99376
55 0.50741625 0.0 1.00475435 0.0 0.0 8e-05 0.99442
56 0.50671537 0.0 1.0050848 0.0 0.0 8e-05 0.99482
57 0.50544601 0.0 1.00539949 0.0 0.0 8e-05 0.99515
58 0.50624727 0.0 1.00573374 0.0 0.0 8e-05 0.99561
59 0.50680517 0.0 1.00605791 0.0 0.0 8e-05 0.99597
60 0.50755427 0.0 1.00635806 0.0 0.0 9e-05 0.99623
61 0.5067295 0.0 1.00665876 0.0 0.0 0.00011 0.99657
62 0.50761619 0.0 1.00694433 0.0 0.0 0.00011 0.9968
63 0.50677219 0.0 1.00724249 0.0 0.0 0.00011 0.99711
64 0.50752687 0.0 1.00752496 0.0 0.0 0.00011 0.99729
65 0.50717886 0.0 1.00780773 0.0 0.0 0.00012 0.99749
66 0.50670309 0.0 1.0080916 0.0 0.0 0.00014 0.99765
67 0.50668552 0.0 1.00838175 0.0 0.0 0.00015 0.99786
68 0.50698459 0.0 1.00865087 0.0 0.0 0.00017 0.99801
69 0.50755287 0.0 1.00891602 0.0 0.0 0.00019 0.99814
70 0.5068638 0.0 1.00917942 0.0 0.0 0.00019 0.99827
71 0.50785477 0.0 1.00943926 0.0 0.0 0.00019 0.99838
72 0.50804043 0.0 1.0097088 0.0 0.0 0.0002 0.99851
73 0.50748731 0.0 1.00995875 0.0 0.0 0.0002 0.9986
74 0.50799062 0.0 1.01020593 0.0 0.0 0.0002 0.99867
75 0.50834137 0.0 1.01046702 0.0 0.0 0.00021 0.99875
76 0.507822 0.0 1.01072581 0.0 0.0 0.00022 0.99884
77 0.50711831 0.0 1.01098008 0.0 0.0 0.00022 0.99888
78 0.50843914 0.0 1.01122242 0.0 0.0 0.00022 0.99895
79 0.50808385 0.0 1.01147055 0.0 0.0 0.00023 0.99901
80 0.50970843 0.0 1.01170461 0.0 0.0 0.00023 0.99907
81 0.50900702 0.0 1.0119519 0.0 0.0 0.00023 0.99914
82 0.50717236 0.0 1.01218814 0.0 0.0 0.00025 0.99918
83 0.50778377 0.0 1.0124389 0.0 0.0 0.00027 0.99919
84 0.50991505 0.0 1.0126714 0.0 0.0 0.00027 0.99922
85 0.50895392 0.0 1.01291813 0.0 0.0 0.00028 0.99923
86 0.50724869 0.0 1.0131421 0.0 0.0 0.00029 0.99926
87 0.50926336 0.0 1.01337107 0.0 0.0 0.00032 0.99924
88 0.50878256 0.0 1.01360358 0.0 0.0 0.00032 0.99927
89 0.51073692 0.0 1.01383514 0.0 0.0 0.00037 0.99927
90 0.50870696 0.0 1.01406442 0.0 0.0 0.0004 0.99925
91 0.5107608 0.0 1.01428245 0.0 0.0 0.00041 0.99928
92 0.50911544 0.0 1.01449058 0.0 0.0 0.00043 0.99928
93 0.50775707 0.0 1.01471805 0.0 0.0 0.00046 0.99927
94 0.51077674 0.0 1.01494237 0.0 0.0 0.00049 0.99928
95 0.50932412 0.0 1.01517275 0.0 0.0 0.00052 0.99928
96 0.50948639 0.0 1.01537691 0.0 0.0 0.00054 0.99927
97 0.50835837 0.0 1.01559452 0.0 0.0 0.00056 0.99925
98 0.51112531 0.0 1.01581258 0.0 0.0 0.00058 0.99926
99 0.50922034 0.0 1.01603717 0.0 0.0 0.0006 0.99927
100 0.5122936 0.0 1.01625973 0.0 0.0 0.00068 0.99921
101 0.50983393 0.0 1.01647586 0.0 0.0 0.00068 0.99921
102 0.50983956 0.0 1.01669616 0.0 0.0 0.00068 0.99921
