 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.54994707 0.0999562 0.76994247 0.282781 0.0 0.1829355 0.133008
2 0.5498846 0.0998267 0.80666279 0.3659299 0.0 0.1878322 0.1102857
3 0.55009856 0.100182 0.79745564 0.3987184 0.0 0.1652848 0.0778624
4 0.54995357 0.0999426 0.77000276 0.398432 0.0 0.1315338 0.0482106
5 0.55005201 0.1001015 0.73327229 0.3729677 0.0 0.0949013 0.0255515
6 0.54994882 0.0999663 0.69139434 0.3274501 0.0 0.0606808 0.0107045
7 0.55017132 0.1001298 0.64611808 0.2652133 0.0 0.0319004 0.0027812
8 0.55013165 0.0999887 0.59871816 0.1887908 0.0 0.0111154 0.0
9 0.55000733 0.0999903 0.54980507 0.0999159 0.0 0.0 0.0
10 0.54980507 0.0999159 0.54980507 0.0999159 0.0 0.0 0.0
