 baseline_total baseline_best total the_best top_95 top_90 top_80
1 47.07 1.0 70.85 5.0 14.000000000000002 7.000000000000001 17.0
2 51.47999999999999 1.0 84.11 9.0 27.0 15.0 19.0
3 50.32 2.0 88.14 10.0 32.0 16.0 20.0
4 50.16 0.0 90.4 11.0 38.0 17.0 20.0
5 52.129999999999995 0.0 91.63 16.0 40.0 14.000000000000002 20.0
6 49.76 1.0 91.9 20.0 43.0 11.0 17.0
7 51.34000000000001 0.0 92.65 22.0 44.0 13.0 14.000000000000002
8 50.3 0.0 93.1 25.0 43.0 13.0 13.0
9 50.75999999999999 2.0 92.01 27.0 42.0 13.0 11.0
10 51.95000000000001 1.0 92.31 27.0 42.0 15.0 8.0
11 54.2 1.0 92.54 28.999999999999996 41.0 15.0 6.0
12 50.84000000000001 2.0 91.47 28.000000000000004 41.0 15.0 5.0
13 47.6 1.0 90.78 28.000000000000004 43.0 13.0 4.0
14 47.26 1.0 89.94 28.000000000000004 42.0 13.0 4.0
15 52.410000000000004 2.0 89.29 28.000000000000004 43.0 11.0 3.0
16 50.12 1.0 88.6 28.000000000000004 43.0 10.0 3.0
17 52.47999999999999 1.0 88.37 31.0 42.0 7.000000000000001 3.0
18 50.43 0.0 88.51 33.0 41.0 6.0 3.0
19 51.6 1.0 88.14 33.0 43.0 4.0 2.0
20 47.91 0.0 88.19 34.0 42.0 4.0 2.0
21 51.93 2.0 87.12 33.0 41.0 4.0 2.0
22 50.22 0.0 87.2 35.0 40.0 3.0 2.0
23 50.31 1.0 86.54 35.0 39.0 4.0 1.0
24 50.31 1.0 86.35 36.0 39.0 2.0 1.0
25 49.9 2.0 85.14 36.0 37.0 2.0 1.0
26 56.67 2.0 83.59 35.0 36.0 2.0 1.0
27 45.12 1.0 83.12 36.0 35.0 2.0 0.0
28 50.36999999999999 0.0 83.22 38.0 34.0 1.0 0.0
29 54.09 3.0 81.65 38.0 31.0 1.0 0.0
30 51.580000000000005 0.0 81.66 39.0 30.0 1.0 0.0
31 51.21 2.0 80.5 39.0 28.000000000000004 1.0 0.0
32 53.78000000000001 0.0 80.52 39.0 28.000000000000004 1.0 0.0
33 49.88 1.0 79.99 38.0 28.000000000000004 1.0 0.0
34 48.35 1.0 79.19 39.0 26.0 1.0 0.0
35 48.02 2.0 78.54 38.0 26.0 0.0 0.0
36 53.1 0.0 78.54 38.0 26.0 0.0 0.0
37 49.96 0.0 78.55 39.0 25.0 0.0 0.0
38 50.74999999999999 1.0 78.54 38.0 25.0 0.0 0.0
39 49.37 0.0 78.56 39.0 24.0 0.0 0.0
40 51.07000000000001 1.0 77.89 38.0 24.0 0.0 0.0
41 51.65 2.0 76.56 36.0 24.0 0.0 0.0
42 53.47 1.0 75.69 37.0 22.0 0.0 0.0
43 54.63 0.0 75.69 37.0 22.0 0.0 0.0
44 55.05 1.0 74.88 37.0 21.0 0.0 0.0
45 49.27 2.0 73.44 36.0 20.0 0.0 0.0
46 51.29 1.0 73.17 35.0 20.0 0.0 0.0
47 46.5 0.0 73.18 35.0 20.0 0.0 0.0
48 48.03 0.0 73.19 36.0 19.0 0.0 0.0
49 49.34 1.0 72.59 35.0 19.0 0.0 0.0
50 46.03 3.0 70.23 33.0 18.0 0.0 0.0
51 50.28 0.0 70.23 33.0 18.0 0.0 0.0
52 47.33 0.0 70.24 33.0 18.0 0.0 0.0
53 56.10000000000001 1.0 69.46 35.0 15.0 0.0 0.0
54 51.74999999999999 0.0 69.46 35.0 15.0 0.0 0.0
55 49.77 3.0 68.79 32.0 15.0 0.0 0.0
56 50.629999999999995 0.0 68.79 32.0 15.0 0.0 0.0
57 48.96 1.0 67.81 31.0 15.0 0.0 0.0
58 51.9 1.0 67.55 31.0 14.000000000000002 0.0 0.0
59 51.24999999999999 1.0 67.03 30.0 14.000000000000002 0.0 0.0
60 47.32 2.0 65.83 28.000000000000004 14.000000000000002 0.0 0.0
61 51.32 1.0 65.31 27.0 14.000000000000002 0.0 0.0
62 49.97 1.0 65.09 26.0 14.000000000000002 0.0 0.0
63 56.49000000000001 2.0 63.96999999999999 24.0 14.000000000000002 0.0 0.0
64 50.12 0.0 63.96999999999999 24.0 14.000000000000002 0.0 0.0
65 50.03999999999999 0.0 63.96999999999999 24.0 14.000000000000002 0.0 0.0
66 51.06 0.0 64.01 27.0 11.0 0.0 0.0
67 46.79 0.0 64.03 28.000000000000004 10.0 0.0 0.0
68 46.85 1.0 63.33 27.0 10.0 0.0 0.0
69 48.38 0.0 63.33 27.0 10.0 0.0 0.0
70 48.98 1.0 63.05 26.0 10.0 0.0 0.0
71 51.11 1.0 62.57 25.0 10.0 0.0 0.0
72 49.61 1.0 61.67 24.0 10.0 0.0 0.0
