	baseline_total	baseline_best	total	the_best	top_95	top_90	top_80
1	0.51623	0.016	0.75987	0.048	0.0	0.0	0.0
2	0.49657	0.012	0.8444	0.071	0.0	0.0	0.0
3	0.5043	0.004	0.88636	0.127	0.0	0.0	0.0
4	0.54878	0.019	0.90434	0.164	0.0	0.0	0.0
5	0.50876	0.02	0.90906	0.172	0.0	0.0	0.0
6	0.51781	0.008	0.91776	0.195	0.0	0.0	0.0
7	0.48576	0.004	0.91968	0.227	0.0	0.0	0.0
8	0.53384	0.008	0.91835	0.235	0.0	0.0	0.0
9	0.5061	0.024	0.91251	0.235	0.0	0.0	0.0
10	0.49706	0.004	0.91599	0.247	0.0	0.0	0.0
11	0.48725	0.016	0.90991	0.255	0.0	0.0	0.0
12	0.49214	0.016	0.90683	0.262	0.0	0.0	0.0
13	0.50386	0.016	0.89735	0.286	0.0	0.0	0.0
14	0.50532	0.015	0.89042	0.279	0.0	0.0	0.0
15	0.48147	0.016	0.8805	0.275	0.0	0.0	0.0
16	0.54331	0.008	0.87566	0.303	0.0	0.0	0.0
17	0.50258	0.0	0.87682	0.319	0.0	0.0	0.0
18	0.51501	0.008	0.87298	0.319	0.0	0.0	0.0
19	0.50792	0.012	0.86778	0.311	0.0	0.0	0.0
20	0.52926	0.008	0.86522	0.323	0.0	0.0	0.0
21	0.52492	0.004	0.8651	0.339	0.0	0.0	0.0
22	0.49956	0.016	0.85702	0.339	0.0	0.0	0.0
23	0.53888	0.012	0.85154	0.347	0.0	0.0	0.0
24	0.47917	0.016	0.84586	0.331	0.0	0.0	0.0
25	0.50668	0.004	0.84518	0.359	0.0	0.0	0.0
26	0.52532	0.024	0.83294	0.343	0.0	0.0	0.0
27	0.50566	0.012	0.8272	0.346	0.0	0.0	0.0
28	0.52417	0.016	0.81672	0.334	0.0	0.0	0.0
29	0.51061	0.012	0.81188	0.338	0.0	0.0	0.0
30	0.50828	0.012	0.80912	0.33	0.0	0.0	0.0
31	0.53123	0.004	0.80754	0.334	0.0	0.0	0.0
32	0.51044	0.008	0.80552	0.333	0.0	0.0	0.0
33	0.52091	0.023	0.79814	0.318	0.0	0.0	0.0
34	0.49366	0.004	0.79826	0.322	0.0	0.0	0.0
35	0.51563	0.003	0.79645	0.339	0.0	0.0	0.0
36	0.49731	0.004	0.79489	0.343	0.0	0.0	0.0
37	0.5011	0.008	0.79225	0.343	0.0	0.0	0.0
38	0.51596	0.008	0.78621	0.347	0.0	0.0	0.0
39	0.52873	0.008	0.77937	0.343	0.0	0.0	0.0
40	0.4927	0.02	0.77365	0.327	0.0	0.0	0.0
41	0.51538	0.004	0.77161	0.335	0.0	0.0	0.0
42	0.4964	0.012	0.76705	0.339	0.0	0.0	0.0
43	0.51725	0.008	0.7612	0.339	0.0	0.0	0.0
44	0.50038	0.004	0.7584	0.351	0.0	0.0	0.0
45	0.50522	0.008	0.75348	0.355	0.0	0.0	0.0
46	0.48439	0.004	0.75208	0.355	0.0	0.0	0.0
47	0.53477	0.004	0.75094	0.362	0.0	0.0	0.0
48	0.51266	0.004	0.74722	0.37	0.0	0.0	0.0
49	0.49077	0.012	0.74222	0.362	0.0	0.0	0.0
50	0.508	0.012	0.73834	0.354	0.0	0.0	0.0
