 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.54 0.11 0.773 0.28 0.22 0.0 0.1
2 0.54 0.11 0.7889999999999999 0.32 0.21 0.0 0.13
3 0.579 0.1 0.79 0.36 0.19 0.0 0.07
4 0.548 0.06 0.795 0.44 0.13 0.0 0.04
5 0.5660000000000001 0.1 0.734 0.41 0.1 0.0 0.0
6 0.5429999999999999 0.1 0.692 0.34 0.07 0.0 0.01
7 0.526 0.07 0.662 0.32 0.03 0.0 0.0
8 0.5860000000000001 0.1 0.605 0.24 0.01 0.0 0.0
9 0.52 0.1 0.5519999999999999 0.15 0.0 0.0 0.0
10 0.5519999999999999 0.15 0.5519999999999999 0.15 0.0 0.0 0.0
