 baseline_total baseline_best total the_best top_95 top_90 top_80
1 52.800000000000004 10.0 76.5 0.0 20.0 0.0 40.0
2 60.4 0.0 81.3 10.0 40.0 0.0 20.0
3 53.2 10.0 81.2 0.0 40.0 0.0 30.0
4 49.8 0.0 81.3 10.0 30.0 0.0 30.0
5 59.0 0.0 83.2 10.0 40.0 0.0 20.0
6 59.3 0.0 83.9 10.0 40.0 0.0 20.0
7 41.8 0.0 85.3 10.0 40.0 0.0 30.0
8 45.9 0.0 85.3 10.0 40.0 0.0 30.0
9 50.9 0.0 86.1 10.0 40.0 10.0 20.0
10 48.1 0.0 86.3 20.0 30.0 10.0 20.0
11 46.5 0.0 86.3 20.0 30.0 10.0 20.0
12 58.70000000000001 0.0 86.6 30.0 20.0 10.0 20.0
13 45.1 0.0 86.6 30.0 20.0 10.0 20.0
14 56.7 0.0 86.8 30.0 20.0 10.0 20.0
15 49.9 10.0 80.0 20.0 20.0 10.0 20.0
16 60.099999999999994 0.0 80.1 20.0 30.0 0.0 20.0
17 33.9 0.0 80.1 20.0 30.0 0.0 20.0
18 54.29999999999999 0.0 80.1 20.0 30.0 0.0 20.0
19 51.1 0.0 81.2 20.0 40.0 0.0 10.0
20 45.8 0.0 81.9 20.0 40.0 10.0 0.0
21 41.6 0.0 81.9 20.0 40.0 10.0 0.0
22 56.39999999999999 0.0 82.4 20.0 50.0 0.0 0.0
23 34.3 0.0 82.4 20.0 50.0 0.0 0.0
24 39.7 0.0 82.4 20.0 50.0 0.0 0.0
25 54.6 0.0 82.4 20.0 50.0 0.0 0.0
26 58.9 0.0 82.6 30.0 40.0 0.0 0.0
27 42.1 0.0 82.6 30.0 40.0 0.0 0.0
28 71.4 0.0 82.8 30.0 40.0 0.0 0.0
29 45.0 0.0 82.8 30.0 40.0 0.0 0.0
30 42.0 0.0 82.8 30.0 40.0 0.0 0.0
31 56.39999999999999 0.0 82.8 30.0 40.0 0.0 0.0
32 50.3 0.0 82.8 30.0 40.0 0.0 0.0
33 46.4 10.0 78.0 20.0 40.0 0.0 0.0
34 49.4 0.0 78.0 20.0 40.0 0.0 0.0
35 56.00000000000001 10.0 71.8 10.0 40.0 0.0 0.0
36 60.8 0.0 71.8 10.0 40.0 0.0 0.0
37 65.2 0.0 71.8 10.0 40.0 0.0 0.0
38 40.8 0.0 71.8 10.0 40.0 0.0 0.0
39 63.2 0.0 71.8 10.0 40.0 0.0 0.0
40 48.8 0.0 71.8 10.0 40.0 0.0 0.0
41 46.3 0.0 71.8 10.0 40.0 0.0 0.0
42 42.9 10.0 69.5 0.0 40.0 0.0 0.0
43 45.6 0.0 69.5 0.0 40.0 0.0 0.0
44 62.1 0.0 69.5 0.0 40.0 0.0 0.0
45 32.6 0.0 69.5 0.0 40.0 0.0 0.0
46 45.6 0.0 69.5 0.0 40.0 0.0 0.0
47 41.3 0.0 69.5 0.0 40.0 0.0 0.0
48 38.7 0.0 69.5 0.0 40.0 0.0 0.0
49 51.2 0.0 69.5 0.0 40.0 0.0 0.0
50 64.6 0.0 69.5 0.0 40.0 0.0 0.0
51 70.7 0.0 69.6 0.0 40.0 0.0 0.0
52 61.0 0.0 69.6 0.0 40.0 0.0 0.0
53 60.8 0.0 69.7 10.0 30.0 0.0 0.0
54 38.8 0.0 69.7 10.0 30.0 0.0 0.0
55 50.2 0.0 69.7 10.0 30.0 0.0 0.0
56 31.900000000000002 0.0 69.7 10.0 30.0 0.0 0.0
57 44.5 0.0 69.7 10.0 30.0 0.0 0.0
58 42.2 0.0 69.8 20.0 20.0 0.0 0.0
59 51.9 0.0 69.8 20.0 20.0 0.0 0.0
60 42.1 0.0 69.8 20.0 20.0 0.0 0.0
61 43.9 0.0 69.8 20.0 20.0 0.0 0.0
62 50.6 0.0 69.8 20.0 20.0 0.0 0.0
63 61.7 0.0 69.8 20.0 20.0 0.0 0.0
64 51.9 0.0 69.8 20.0 20.0 0.0 0.0
65 34.1 0.0 69.8 20.0 20.0 0.0 0.0
66 54.79999999999999 0.0 69.8 20.0 20.0 0.0 0.0
