 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.5043767 0.01047 0.7520166 0.052 0.17043 0.12324 0.18498
2 0.5042055 0.00979 0.8308107 0.08257 0.24586 0.15508 0.19928
3 0.5056901 0.00978 0.8681537 0.10936 0.29974 0.1698 0.19401
4 0.5056642 0.01026 0.8881384 0.13302 0.33832 0.17423 0.17858
5 0.5050049 0.00936 0.9002214 0.15475 0.36753 0.17375 0.1595
6 0.5080148 0.01006 0.9074741 0.1737 0.39061 0.1695 0.14103
7 0.5054269 0.01042 0.9112068 0.18956 0.40831 0.16312 0.12268
8 0.5033744 0.0097 0.9134008 0.20629 0.41967 0.15613 0.10556
9 0.504513 0.01009 0.9138743 0.22009 0.42885 0.14696 0.09088
10 0.506088 0.0097 0.9136543 0.23419 0.4348 0.13738 0.07735
11 0.5040124 0.00966 0.9125867 0.24669 0.43797 0.128 0.06628
12 0.5053205 0.0104 0.9104999 0.25852 0.43801 0.11861 0.05676
13 0.5054998 0.00909 0.9086651 0.27025 0.43805 0.10942 0.04766
14 0.506466 0.00961 0.9062516 0.28053 0.43646 0.10017 0.04032
15 0.5054163 0.01012 0.9031311 0.28985 0.43247 0.0923 0.03385
16 0.5041985 0.01025 0.8998341 0.29824 0.42797 0.08443 0.02852
17 0.5041299 0.00938 0.8967702 0.30661 0.42345 0.07658 0.02372
18 0.5051726 0.01077 0.8928473 0.31317 0.41771 0.06938 0.01967
19 0.5044817 0.01008 0.889012 0.31952 0.41094 0.06327 0.0164
20 0.5063102 0.01036 0.8849246 0.32623 0.40264 0.05768 0.01347
21 0.5037781 0.0094 0.8813246 0.33238 0.39471 0.05283 0.01085
22 0.5056661 0.00936 0.8775651 0.3381 0.38664 0.04775 0.00913
23 0.50527 0.00978 0.8737233 0.34254 0.37904 0.04305 0.00729
24 0.5050651 0.01024 0.8693331 0.34614 0.37046 0.03898 0.00617
25 0.5053212 0.01054 0.8647682 0.34978 0.36118 0.03536 0.00492
26 0.5063561 0.01027 0.8603623 0.35364 0.35175 0.03173 0.00388
27 0.5047842 0.00958 0.8559493 0.35698 0.34301 0.0283 0.00316
28 0.5041945 0.00992 0.8515739 0.35935 0.33388 0.02569 0.00262
29 0.5046646 0.01002 0.8471022 0.36136 0.32515 0.02299 0.00202
30 0.5068108 0.01069 0.8424247 0.3626 0.31612 0.02053 0.00159
31 0.5053226 0.01016 0.8377965 0.36365 0.30762 0.01818 0.00123
32 0.5060814 0.00995 0.8333001 0.36551 0.29822 0.01599 0.00102
33 0.5060688 0.00973 0.8288994 0.36699 0.28913 0.01415 0.00074
34 0.5036427 0.01055 0.8238664 0.36679 0.2806 0.01243 0.00064
35 0.5047133 0.00965 0.8192441 0.36776 0.27174 0.01082 0.00049
36 0.5062287 0.01019 0.8143741 0.36721 0.26341 0.00962 0.00038
37 0.5037624 0.00977 0.809888 0.36789 0.25423 0.00843 0.0003
38 0.505124 0.00941 0.8054795 0.36799 0.2459 0.00733 0.00022
39 0.5047158 0.00976 0.8008958 0.36875 0.23626 0.00647 0.0002
40 0.5044479 0.01032 0.7960511 0.36754 0.22793 0.00573 0.00016
41 0.5051229 0.00986 0.7914355 0.36716 0.21928 0.00491 0.00015
42 0.50527 0.01046 0.7864112 0.36509 0.21162 0.00422 0.00011
43 0.5044757 0.00997 0.7817848 0.36335 0.20411 0.00355 6e-05
44 0.5040647 0.00992 0.7770066 0.36195 0.19609 0.00305 6e-05
45 0.5048265 0.01033 0.7720182 0.3596 0.18847 0.00272 3e-05
46 0.5036435 0.01038 0.7670551 0.35739 0.18068 0.00235 2e-05
47 0.5046739 0.00976 0.7623663 0.35526 0.17345 0.00195 2e-05
48 0.5060548 0.0097 0.7575441 0.35262 0.16671 0.00164 1e-05
49 0.504362 0.01039 0.7526653 0.34968 0.15946 0.00145 0.0
50 0.506642 0.01016 0.747761 0.34642 0.15279 0.00122 0.0
51 0.5041645 0.00965 0.7431383 0.34363 0.1462 0.00095 0.0
52 0.5055042 0.00986 0.7382335 0.34075 0.13936 0.00081 0.0
53 0.5044018 0.00965 0.7335309 0.33782 0.13275 0.0007 0.0
54 0.5051127 0.01 0.7286405 0.33436 0.12638 0.00053 0.0
55 0.504785 0.01023 0.723718 0.33028 0.1203 0.00046 0.0
56 0.5044539 0.00987 0.7189031 0.3266 0.11422 0.00035 0.0
57 0.5061267 0.01048 0.7137133 0.32192 0.10843 0.00034 0.0
58 0.5048613 0.01005 0.7087265 0.31686 0.10352 0.00026 0.0
59 0.5060649 0.0104 0.7037774 0.31165 0.09837 0.00022 0.0
60 0.5041738 0.0105 0.6986118 0.30632 0.09324 0.00018 0.0
61 0.5041939 0.00977 0.6936636 0.30151 0.08832 0.00014 0.0
62 0.5039554 0.01002 0.6887044 0.29658 0.08327 0.0001 0.0
63 0.5064206 0.01018 0.6836817 0.29136 0.07834 7e-05 0.0
64 0.5043059 0.01034 0.6785911 0.28534 0.07403 6e-05 0.0
65 0.5030159 0.00945 0.6737836 0.28015 0.06977 6e-05 0.0
66 0.5039654 0.00981 0.6688416 0.27479 0.06533 5e-05 0.0
67 0.5057696 0.00984 0.6639038 0.26898 0.06133 2e-05 0.0
68 0.5039844 0.01027 0.6588251 0.26271 0.05733 2e-05 0.0
69 0.5058987 0.00978 0.6540114 0.25703 0.05323 2e-05 0.0
70 0.5049842 0.01014 0.6489858 0.25067 0.04946 1e-05 0.0
71 0.5046956 0.00983 0.6442142 0.24435 0.04595 1e-05 0.0
72 0.5042231 0.01025 0.6391747 0.23749 0.04257 0.0 0.0
73 0.5037366 0.00993 0.6342805 0.23062 0.03951 0.0 0.0
74 0.5057014 0.00974 0.6294919 0.22389 0.0365 0.0 0.0
75 0.5042024 0.01001 0.6245491 0.21705 0.03333 0.0 0.0
76 0.5052 0.00956 0.6198019 0.21055 0.03027 0.0 0.0
77 0.5039369 0.00947 0.6149367 0.20363 0.02772 0.0 0.0
78 0.5053313 0.01034 0.6099222 0.19559 0.02542 0.0 0.0
79 0.5045321 0.0098 0.6049663 0.18842 0.02279 0.0 0.0
80 0.5062259 0.00945 0.6003083 0.18137 0.02039 0.0 0.0
81 0.5058586 0.00993 0.5953401 0.1735 0.01833 0.0 0.0
82 0.5069209 0.01033 0.5901905 0.16514 0.01636 0.0 0.0
83 0.5049913 0.00971 0.5852876 0.15722 0.01457 0.0 0.0
84 0.5056651 0.01047 0.5799419 0.1487 0.01262 0.0 0.0
85 0.5046852 0.01014 0.5749388 0.14022 0.01096 0.0 0.0
86 0.5044907 0.00991 0.5701083 0.13182 0.00945 0.0 0.0
