 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.49921839 0.0 0.7506607 0.0 0.0 0.0 0.21809
2 0.49969396 0.0 0.8351676 0.0 0.0 0.0 0.32715
3 0.49976517 0.0 0.87765886 0.0 0.0 0.0 0.41074
4 0.50160775 0.0 0.90301453 0.0 0.0 0.0 0.48029
5 0.50073693 0.0 0.91995542 0.0 0.0 0.0 0.5381
6 0.50056404 0.0 0.9322362 0.0 0.0 0.0 0.58684
7 0.50101915 0.0 0.94146606 0.0 0.0 0.0 0.62885
8 0.5010938 0.0 0.94871796 0.0 0.0 0.0 0.66644
9 0.49962314 0.0 0.95460217 0.0 0.0 0.0 0.69913
10 0.50159868 0.0 0.95944636 0.0 0.0 0.0 0.72857
11 0.50122559 0.0 0.96341937 0.0 0.0 0.0 0.75344
12 0.50083369 0.0 0.96687221 0.0 0.0 0.0 0.7763
13 0.5029156 0.0 0.96987878 0.0 0.0 0.0 0.79707
14 0.50058618 0.0 0.97254125 0.0 0.0 0.0 0.81577
15 0.50123296 0.0 0.9748627 0.0 0.0 0.0 0.83258
16 0.50316974 0.0 0.97695506 0.0 0.0 1e-05 0.8477
17 0.50112075 0.0 0.97878324 0.0 0.0 1e-05 0.86039
18 0.50334551 0.0 0.98056242 0.0 0.0 1e-05 0.87312
19 0.50170344 0.0 0.98211675 0.0 0.0 1e-05 0.88464
20 0.50232523 0.0 0.98348197 0.0 0.0 2e-05 0.89418
21 0.50167333 0.0 0.98474356 0.0 0.0 2e-05 0.90293
22 0.50440808 0.0 0.98598108 0.0 0.0 2e-05 0.91171
23 0.50193865 0.0 0.98708863 0.0 0.0 2e-05 0.91894
24 0.50339925 0.0 0.98815439 0.0 0.0 2e-05 0.92574
25 0.50452425 0.0 0.98913 0.0 0.0 2e-05 0.93205
26 0.50198033 0.0 0.99003899 0.0 0.0 2e-05 0.93782
27 0.50285864 0.0 0.99088872 0.0 0.0 2e-05 0.94292
28 0.50070418 0.0 0.99170435 0.0 0.0 2e-05 0.94737
29 0.50302027 0.0 0.99244517 0.0 0.0 2e-05 0.95138
30 0.50166957 0.0 0.99315554 0.0 0.0 2e-05 0.95509
31 0.50327127 0.0 0.99385103 0.0 0.0 2e-05 0.95886
32 0.50338474 0.0 0.99451209 0.0 0.0 2e-05 0.96225
33 0.50323043 0.0 0.99514286 0.0 0.0 2e-05 0.96524
34 0.5033682 0.0 0.99573324 0.0 0.0 2e-05 0.96789
35 0.50303958 0.0 0.99633985 0.0 0.0 3e-05 0.97066
36 0.50365597 0.0 0.99689876 0.0 0.0 3e-05 0.97312
37 0.50426041 0.0 0.99743244 0.0 0.0 4e-05 0.97549
38 0.50472807 0.0 0.99795411 0.0 0.0 4e-05 0.97748
39 0.50404694 0.0 0.99845413 0.0 0.0 4e-05 0.97941
40 0.50519885 0.0 0.99891757 0.0 0.0 4e-05 0.981
41 0.50482143 0.0 0.99938299 0.0 0.0 4e-05 0.98229
42 0.50469578 0.0 0.99984029 0.0 0.0 5e-05 0.98381
43 0.50356286 0.0 1.00027059 0.0 0.0 5e-05 0.98502
44 0.50411373 0.0 1.00069324 0.0 0.0 5e-05 0.98629
45 0.50557719 0.0 1.0011139 0.0 0.0 6e-05 0.98764
46 0.50470309 0.0 1.00150184 0.0 0.0 8e-05 0.9885
47 0.50327434 0.0 1.00188783 0.0 0.0 8e-05 0.98934
48 0.50467971 0.0 1.00226411 0.0 0.0 8e-05 0.99012
49 0.50704678 0.0 1.002644 0.0 0.0 8e-05 0.99089
50 0.5053819 0.0 1.00302109 0.0 0.0 8e-05 0.99162
51 0.50537855 0.0 1.00338378 0.0 0.0 8e-05 0.99218
52 0.50525287 0.0 1.00373415 0.0 0.0 8e-05 0.99271
53 0.50728402 0.0 1.00408339 0.0 0.0 9e-05 0.99324
54 0.50592709 0.0 1.00442616 0.0 0.0 9e-05 0.99361
55 0.50462726 0.0 1.00476269 0.0 0.0 0.0001 0.9941
56 0.5055849 0.0 1.00509739 0.0 0.0 0.00011 0.9946
57 0.50544815 0.0 1.00542946 0.0 0.0 0.00011 0.99498
58 0.50725951 0.0 1.00574334 0.0 0.0 0.00011 0.99536
59 0.50553729 0.0 1.00603766 0.0 0.0 0.00013 0.99571
60 0.50603963 0.0 1.00632592 0.0 0.0 0.00013 0.996
61 0.50678832 0.0 1.00663618 0.0 0.0 0.00013 0.99635
62 0.50642297 0.0 1.00693724 0.0 0.0 0.00013 0.99664
63 0.50621565 0.0 1.00722294 0.0 0.0 0.00014 0.99695
64 0.5066593 0.0 1.00750418 0.0 0.0 0.00014 0.99717
65 0.50652397 0.0 1.00778151 0.0 0.0 0.00014 0.99743
66 0.50577138 0.0 1.0080543 0.0 0.0 0.00016 0.99761
67 0.50511145 0.0 1.0083344 0.0 0.0 0.00017 0.99779
68 0.50752938 0.0 1.00861433 0.0 0.0 0.00018 0.99795
69 0.50725857 0.0 1.0088767 0.0 0.0 0.00019 0.99808
70 0.50634383 0.0 1.00915164 0.0 0.0 0.0002 0.99823
71 0.50809576 0.0 1.00942238 0.0 0.0 0.00022 0.99839
72 0.50902528 0.0 1.00969641 0.0 0.0 0.00024 0.99853
73 0.50843191 0.0 1.00995664 0.0 0.0 0.00024 0.99866
74 0.50749952 0.0 1.0102054 0.0 0.0 0.00024 0.99876
75 0.50826357 0.0 1.01046095 0.0 0.0 0.00028 0.99877
76 0.50952268 0.0 1.0107123 0.0 0.0 0.00028 0.99885
77 0.50808764 0.0 1.01096873 0.0 0.0 0.0003 0.99895
78 0.5085437 0.0 1.01120117 0.0 0.0 0.0003 0.99903
79 0.50790402 0.0 1.01144209 0.0 0.0 0.00032 0.99906
80 0.50779902 0.0 1.01170042 0.0 0.0 0.00034 0.9991
81 0.50885412 0.0 1.01193361 0.0 0.0 0.00036 0.99911
82 0.50888674 0.0 1.01217563 0.0 0.0 0.00037 0.99913
83 0.50853073 0.0 1.01241737 0.0 0.0 0.00041 0.99917
84 0.50887953 0.0 1.01264785 0.0 0.0 0.00042 0.99919
85 0.50938443 0.0 1.01287493 0.0 0.0 0.00043 0.99923
86 0.5088259 0.0 1.01311775 0.0 0.0 0.00043 0.99926
87 0.50963047 0.0 1.0133423 0.0 0.0 0.00045 0.99927
88 0.50902099 0.0 1.01357157 0.0 0.0 0.00046 0.99929
89 0.50974148 0.0 1.01380805 0.0 0.0 0.00046 0.9993
90 0.50837626 0.0 1.01404651 0.0 0.0 0.00047 0.99932
91 0.50959757 0.0 1.01428373 0.0 0.0 0.00047 0.99933
92 0.50955098 0.0 1.01450296 0.0 0.0 0.0005 0.99931
93 0.51002837 0.0 1.01472482 0.0 0.0 0.00052 0.99931
94 0.50971231 0.0 1.01495133 0.0 0.0 0.00057 0.99928
95 0.50868085 0.0 1.01517279 0.0 0.0 0.00058 0.99927
96 0.51019846 0.0 1.01540147 0.0 0.0 0.00058 0.99929
97 0.51181404 0.0 1.01561855 0.0 0.0 0.00061 0.99927
98 0.50920153 0.0 1.01584703 0.0 0.0 0.00061 0.99928
99 0.50987348 0.0 1.01605996 0.0 0.0 0.00064 0.99925
100 0.51039129 0.0 1.01627345 0.0 0.0 0.00067 0.99922
101 0.51061042 0.0 1.01648472 0.0 0.0 0.00072 0.99918
102 0.50932294 0.0 1.01669905 0.0 0.0 0.00077 0.99915
103 0.51105766 0.0 1.01692703 0.0 0.0 0.00081 0.99912
104 0.5110264 0.0 1.01713801 0.0 0.0 0.00085 0.99908
105 0.51088322 0.0 1.01734824 0.0 0.0 0.00087 0.99906
106 0.51138423 0.0 1.01757061 0.0 0.0 0.00089 0.99905
107 0.511743 0.0 1.01778413 0.0 0.0 0.00094 0.99901
108 0.51178948 0.0 1.01799502 0.0 0.0 0.00096 0.999
109 0.51337868 0.0 1.0182049 0.0 0.0 0.00103 0.99893
110 0.51228349 0.0 1.0184086 0.0 0.0 0.00106 0.9989
111 0.51297101 0.0 1.0186204 0.0 0.0 0.00112 0.99884
112 0.51174808 0.0 1.01883996 0.0 0.0 0.00117 0.99881
113 0.51026797 0.0 1.01905461 0.0 0.0 0.00121 0.99877
114 0.51081271 0.0 1.01926881 0.0 0.0 0.0013 0.99868
115 0.5127556 0.0 1.01947767 0.0 0.0 0.00138 0.9986
116 0.51111056 0.0 1.01967829 0.0 0.0 0.00143 0.99855
117 0.51148479 0.0 1.0198927 0.0 0.0 0.00151 0.99847
118 0.51211718 0.0 1.02011402 0.0 0.0 0.00161 0.99837
119 0.51202989 0.0 1.02031785 0.0 0.0 0.0017 0.99828
120 0.51272165 0.0 1.02053278 0.0 0.0 0.00173 0.99825
121 0.51021905 0.0 1.0207378 0.0 0.0 0.00176 0.99822
122 0.51139916 0.0 1.02093554 0.0 0.0 0.00179 0.99819
123 0.5136588 0.0 1.02113541 0.0 0.0 0.00189 0.99809
124 0.51308607 0.0 1.02132716 0.0 0.0 0.00196 0.99802
125 0.51130997 0.0 1.02152758 0.0 0.0 0.00204 0.99794
126 0.51304228 0.0 1.02173589 0.0 0.0 0.00209 0.99789
127 0.51388599 0.0 1.02196806 0.0 0.0 0.00217 0.99781
128 0.51449337 0.0 1.02216674 0.0 0.0 0.00224 0.99774
129 0.5148241 0.0 1.0223676 0.0 0.0 0.00233 0.99766
130 0.51271569 0.0 1.02258099 0.0 0.0 0.00248 0.99751
131 0.51247919 0.0 1.02278092 0.0 0.0 0.00262 0.99737
132 0.51212656 0.0 1.02298878 0.0 0.0 0.00272 0.99728
133 0.51479403 0.0 1.02318675 0.0 0.0 0.00283 0.99717
134 0.51317784 0.0 1.0233816 0.0 0.0 0.00289 0.99711
135 0.51353022 0.0 1.02357748 0.0 0.0 0.00303 0.99697
136 0.51422472 0.0 1.02378675 0.0 0.0 0.00319 0.99681
