 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.50165003 0.0 0.75118469 0.0 2e-05 0.10682 0.28929
2 0.50149876 0.0 0.83476968 0.0 2e-05 0.16948 0.3797
3 0.50098831 0.0 0.87666423 0.0 3e-05 0.22245 0.42955
4 0.50126145 0.0 0.90198744 0.0 4e-05 0.26911 0.45904
5 0.49933348 0.0 0.91891845 0.0 4e-05 0.31084 0.47326
6 0.50059847 0.0 0.93122447 0.0 4e-05 0.34915 0.47866
7 0.49967077 0.0 0.94034357 0.0 6e-05 0.38246 0.47874
8 0.50114655 0.0 0.94734188 0.0 8e-05 0.41456 0.47201
9 0.50173553 0.0 0.95319785 0.0 9e-05 0.44379 0.46409
10 0.50080032 0.0 0.95791514 0.0 0.00012 0.47129 0.45267
11 0.50136107 0.0 0.96184612 0.0 0.00014 0.49616 0.4413
12 0.50135994 0.0 0.96520258 0.0 0.00014 0.51949 0.42906
13 0.50137472 0.0 0.96808777 0.0 0.00017 0.54209 0.41565
14 0.50256533 0.0 0.97058193 0.0 0.00018 0.56259 0.40231
15 0.50134565 0.0 0.97284756 0.0 0.00018 0.58265 0.38813
16 0.50056692 0.0 0.97478518 0.0 0.0002 0.60094 0.37465
17 0.50291585 0.0 0.97658495 0.0 0.00021 0.61852 0.36167
18 0.50154042 0.0 0.97810218 0.0 0.00023 0.63424 0.34896
19 0.50112273 0.0 0.97954098 0.0 0.00026 0.65002 0.3357
20 0.50130994 0.0 0.98082852 0.0 0.00028 0.66517 0.3228
21 0.50070484 0.0 0.98201958 0.0 0.00028 0.67933 0.31049
22 0.50145403 0.0 0.98310789 0.0 0.0003 0.69269 0.29858
23 0.50207238 0.0 0.98414399 0.0 0.0003 0.70558 0.28695
24 0.50146779 0.0 0.98510749 0.0 0.00033 0.71781 0.27602
25 0.50081653 0.0 0.98596143 0.0 0.00035 0.72892 0.26569
26 0.50225995 0.0 0.98680265 0.0 0.00039 0.74038 0.25495
27 0.50163731 0.0 0.98757974 0.0 0.00042 0.75103 0.245
28 0.50185064 0.0 0.98833172 0.0 0.00049 0.76108 0.23542
29 0.50196093 0.0 0.98902538 0.0 0.00055 0.77122 0.2257
30 0.50126254 0.0 0.98966076 0.0 0.00056 0.77992 0.21738
31 0.50396526 0.0 0.99025958 0.0 0.00056 0.78867 0.20892
32 0.50211124 0.0 0.99082459 0.0 0.0006 0.79677 0.20101
33 0.50162358 0.0 0.99136861 0.0 0.00062 0.80473 0.19325
