 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.50137072 0.00083 0.75086265 0.00776 0.19485 0.12982 0.19202
2 0.50086283 0.00102 0.8335501 0.01309 0.29222 0.16662 0.21397
3 0.50039087 0.00088 0.87465791 0.01815 0.36748 0.18425 0.21288
4 0.49890104 0.00087 0.89922333 0.02287 0.42805 0.1938 0.19997
5 0.50009439 0.00106 0.91545735 0.02729 0.47899 0.19842 0.18206
6 0.50162011 0.00099 0.92685039 0.03144 0.52206 0.19695 0.16476
7 0.50043647 0.00102 0.9353442 0.03515 0.55793 0.19486 0.14767
8 0.50028711 0.00092 0.94173048 0.03909 0.58981 0.18942 0.13126
9 0.49961464 0.00097 0.94688238 0.04269 0.618 0.18351 0.11525
10 0.50164337 0.00089 0.95103767 0.04654 0.64313 0.17568 0.10124
11 0.50074879 0.0009 0.95435422 0.05014 0.66459 0.16818 0.08869
12 0.49958824 0.00086 0.95705494 0.05378 0.68247 0.16112 0.07786
13 0.50013155 0.00098 0.95932748 0.05711 0.69915 0.15326 0.06808
14 0.49976341 0.00127 0.96103625 0.06001 0.7136 0.14518 0.05995
15 0.50014304 0.00097 0.96259505 0.06336 0.72589 0.13813 0.0524
16 0.50212323 0.0011 0.96387548 0.0663 0.73797 0.12988 0.04578
17 0.49920514 0.00091 0.96502716 0.06937 0.74749 0.12328 0.03994
18 0.50082328 0.00094 0.96596846 0.07245 0.75639 0.11609 0.03502
19 0.5003144 0.00098 0.96678316 0.07552 0.76405 0.10968 0.03025
20 0.50013652 0.00111 0.96742413 0.07841 0.77075 0.10309 0.02661
21 0.4998803 0.001 0.96806175 0.08132 0.77668 0.09718 0.02307
22 0.50082989 0.00096 0.96850945 0.08409 0.78239 0.09084 0.02022
23 0.50064136 0.00106 0.96888158 0.08682 0.78707 0.08523 0.01764
24 0.50062383 0.00097 0.96926465 0.0898 0.79122 0.07971 0.0152
25 0.49982847 0.00096 0.96953707 0.09262 0.79472 0.07444 0.01333
26 0.5013966 0.00101 0.96977865 0.0955 0.79718 0.06988 0.01163
27 0.50123123 0.00102 0.96993991 0.09844 0.79877 0.06597 0.01008
28 0.50059423 0.00105 0.97005693 0.10091 0.80027 0.0624 0.0087
29 0.50010918 0.00112 0.97002805 0.10327 0.80168 0.05851 0.00776
30 0.50146651 0.00107 0.97003151 0.1054 0.80327 0.05481 0.00672
31 0.50095338 0.00097 0.97003027 0.10795 0.80398 0.05145 0.00587
32 0.50062645 0.00099 0.96997274 0.1105 0.8046 0.04799 0.00522
33 0.4999593 0.00101 0.96994781 0.11305 0.80506 0.04475 0.00444
34 0.4983413 0.001 0.96987786 0.11534 0.80537 0.04167 0.00392
35 0.50058632 0.00111 0.96970367 0.1176 0.8052 0.03888 0.00352
36 0.49885222 0.00099 0.96957748 0.12006 0.80493 0.03621 0.00303
37 0.49989988 0.00092 0.96950273 0.1224 0.80431 0.03384 0.00276
38 0.50038513 0.00113 0.9693123 0.12453 0.80374 0.03156 0.00235
39 0.50076026 0.00103 0.96912002 0.12647 0.8031 0.02946 0.00212
40 0.50008193 0.00097 0.9689487 0.12868 0.80206 0.0276 0.00184
41 0.50049031 0.00112 0.96866723 0.13049 0.80122 0.02571 0.00164
42 0.50136446 0.00101 0.96847938 0.13264 0.79968 0.02426 0.00147
43 0.50133588 0.00093 0.96827265 0.13471 0.79848 0.02258 0.00136
44 0.50062469 0.00087 0.96806966 0.13699 0.79678 0.02123 0.00126
45 0.5000705 0.00078 0.9679353 0.13909 0.79549 0.0198 0.0011
46 0.49960953 0.0009 0.96773131 0.1415 0.79374 0.01839 0.00095
47 0.50111171 0.00114 0.96742985 0.14316 0.79239 0.01708 0.00081
48 0.50103118 0.0009 0.96717985 0.14535 0.79054 0.01604 0.00061
49 0.49991525 0.00105 0.96680115 0.14739 0.78861 0.01494 0.00055
50 0.50006724 0.00098 0.96651722 0.14936 0.78659 0.01405 0.00051
51 0.50121826 0.00101 0.96620433 0.15153 0.78417 0.0134 0.0004
52 0.50128766 0.00091 0.96595582 0.15348 0.78238 0.01238 0.00035
53 0.50145751 0.001 0.96562454 0.15549 0.78014 0.01166 0.0003
54 0.50108038 0.001 0.96540142 0.15725 0.77814 0.01093 0.00027
55 0.49916004 0.00103 0.9650663 0.15919 0.77589 0.01025 0.00023
56 0.49923592 0.00106 0.96469664 0.16107 0.77356 0.00964 0.00023
57 0.50114341 0.00093 0.96437713 0.16312 0.77122 0.00904 0.00019
58 0.5005133 0.00087 0.96409729 0.16522 0.76897 0.00834 0.00017
59 0.49881425 0.00098 0.96372495 0.16701 0.7668 0.00775 0.00016
