 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.50067505 0.0 0.75126283 0.0 2e-05 0.10685 0.29024
2 0.50187453 0.0 0.83517339 0.0 2e-05 0.16951 0.37982
3 0.50026412 0.0 0.87689214 0.0 3e-05 0.22302 0.42882
4 0.50138412 0.0 0.9021319 0.0 6e-05 0.26857 0.45836
5 0.50159312 0.0 0.91910181 0.0 8e-05 0.31066 0.47237
6 0.49951178 0.0 0.93110946 0.0 0.0001 0.34756 0.47778
7 0.49981659 0.0 0.94010377 0.0 0.0001 0.38114 0.47745
8 0.49882755 0.0 0.94722743 0.0 0.0001 0.41195 0.47333
9 0.50009458 0.0 0.9528186 0.0 0.00012 0.44153 0.46395
10 0.50089883 0.0 0.95754019 0.0 0.00013 0.46891 0.4535
11 0.50038853 0.0 0.96143241 0.0 0.00015 0.49365 0.44192
12 0.50251558 0.0 0.96492433 0.0 0.00016 0.51743 0.42959
13 0.50192563 0.0 0.9678129 0.0 0.00018 0.54017 0.4159
14 0.5012669 0.0 0.97035291 0.0 0.00018 0.56123 0.40223
15 0.5024148 0.0 0.97261374 0.0 0.00019 0.58057 0.38902
16 0.50134338 0.0 0.97466206 0.0 0.0002 0.59919 0.37573
17 0.50043216 0.0 0.97644808 0.0 0.00027 0.61666 0.36261
18 0.50112186 0.0 0.97803737 0.0 0.00028 0.63326 0.34942
19 0.5019086 0.0 0.9794627 0.0 0.00028 0.64912 0.33645
20 0.5007524 0.0 0.98077064 0.0 0.00029 0.66342 0.32433
21 0.50172636 0.0 0.98191748 0.0 0.0003 0.67631 0.31338
22 0.50059684 0.0 0.98300824 0.0 0.00032 0.68918 0.30207
23 0.50100216 0.0 0.98403998 0.0 0.00032 0.70198 0.29072
24 0.50244958 0.0 0.98500512 0.0 0.00033 0.71471 0.27923
25 0.50106864 0.0 0.98587141 0.0 0.00037 0.72638 0.26837
26 0.50092741 0.0 0.98670301 0.0 0.00039 0.73756 0.25797
27 0.50204345 0.0 0.98746549 0.0 0.00045 0.74752 0.24855
28 0.50196773 0.0 0.988192 0.0 0.00047 0.75769 0.23898
29 0.50343267 0.0 0.98890403 0.0 0.00052 0.76776 0.22937
30 0.50232762 0.0 0.9895418 0.0 0.00053 0.77698 0.22053
