 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.49889268 0.0 0.75104298 0.0 0.0 0.0 0.216
2 0.50026506 0.0 0.83499119 0.0 0.0 0.0 0.32559
3 0.5002836 0.0 0.87724835 0.0 0.0 0.0 0.4112
4 0.5021699 0.0 0.90285669 0.0 0.0 0.0 0.48157
5 0.49986552 0.0 0.91985939 0.0 0.0 0.0 0.53809
6 0.50011651 0.0 0.93203014 0.0 0.0 0.0 0.58748
7 0.50053413 0.0 0.9413635 0.0 0.0 1e-05 0.62935
8 0.50121543 0.0 0.94864847 0.0 0.0 1e-05 0.6674
9 0.50253031 0.0 0.95456878 0.0 0.0 1e-05 0.69977
10 0.50280788 0.0 0.9593786 0.0 0.0 1e-05 0.72876
11 0.49920436 0.0 0.96340598 0.0 0.0 1e-05 0.75457
12 0.50058245 0.0 0.96687382 0.0 0.0 1e-05 0.7772
13 0.50270346 0.0 0.96993059 0.0 0.0 2e-05 0.79784
14 0.50036243 0.0 0.97253721 0.0 0.0 2e-05 0.81631
15 0.50194526 0.0 0.97488001 0.0 0.0 2e-05 0.83202
16 0.5008574 0.0 0.97694932 0.0 0.0 2e-05 0.84614
17 0.50193108 0.0 0.97882909 0.0 0.0 2e-05 0.86003
18 0.50271863 0.0 0.98050548 0.0 0.0 2e-05 0.87243
19 0.50297604 0.0 0.98205315 0.0 0.0 2e-05 0.88368
20 0.50266128 0.0 0.98345353 0.0 0.0 2e-05 0.89382
21 0.50286682 0.0 0.98474114 0.0 0.0 2e-05 0.90269
22 0.5019515 0.0 0.98595829 0.0 0.0 2e-05 0.9107
23 0.5008591 0.0 0.9870146 0.0 0.0 2e-05 0.91769
24 0.50250855 0.0 0.98806121 0.0 0.0 2e-05 0.92481
25 0.50426897 0.0 0.98900844 0.0 0.0 2e-05 0.93086
26 0.50317468 0.0 0.98990799 0.0 0.0 2e-05 0.93663
27 0.50235585 0.0 0.99075782 0.0 0.0 3e-05 0.9418
28 0.50467173 0.0 0.99159505 0.0 0.0 3e-05 0.94682
29 0.50055358 0.0 0.99234545 0.0 0.0 3e-05 0.95112
30 0.50288486 0.0 0.99306371 0.0 0.0 4e-05 0.95488
31 0.50315271 0.0 0.99374571 0.0 0.0 4e-05 0.95832
32 0.50422467 0.0 0.99438931 0.0 0.0 4e-05 0.96135
33 0.50408355 0.0 0.99503782 0.0 0.0 4e-05 0.96455
34 0.50363658 0.0 0.99566993 0.0 0.0 4e-05 0.96762
35 0.50437019 0.0 0.99624537 0.0 0.0 4e-05 0.97021
36 0.50496451 0.0 0.99680957 0.0 0.0 4e-05 0.97263
37 0.50323195 0.0 0.99736304 0.0 0.0 4e-05 0.97494
38 0.50411334 0.0 0.99789926 0.0 0.0 4e-05 0.97702
39 0.50355185 0.0 0.9984061 0.0 0.0 4e-05 0.97885
40 0.50524093 0.0 0.99891468 0.0 0.0 4e-05 0.98068
41 0.50258793 0.0 0.99939508 0.0 0.0 4e-05 0.98216
42 0.50482954 0.0 0.99986241 0.0 0.0 4e-05 0.98354
43 0.50360736 0.0 1.00029665 0.0 0.0 4e-05 0.98484
44 0.50509057 0.0 1.00071825 0.0 0.0 4e-05 0.98595
45 0.50470361 0.0 1.00113667 0.0 0.0 5e-05 0.98705
46 0.50715717 0.0 1.00157269 0.0 0.0 5e-05 0.98824
47 0.50514161 0.0 1.00196889 0.0 0.0 5e-05 0.9892
48 0.5045118 0.0 1.00237133 0.0 0.0 5e-05 0.99022
49 0.50523772 0.0 1.00274783 0.0 0.0 5e-05 0.99102
50 0.50515147 0.0 1.00310724 0.0 0.0 6e-05 0.99173
51 0.50399799 0.0 1.00344913 0.0 0.0 6e-05 0.99225
52 0.50597643 0.0 1.00380258 0.0 0.0 6e-05 0.99286
53 0.50605111 0.0 1.00414725 0.0 0.0 7e-05 0.99342
54 0.50542125 0.0 1.00448381 0.0 0.0 8e-05 0.99405
55 0.50569685 0.0 1.00481153 0.0 0.0 8e-05 0.99453
56 0.50637614 0.0 1.00512884 0.0 0.0 8e-05 0.9949
57 0.50708206 0.0 1.00546311 0.0 0.0 8e-05 0.99531
58 0.50756768 0.0 1.00578293 0.0 0.0 8e-05 0.99572
59 0.50565832 0.0 1.00608906 0.0 0.0 8e-05 0.9961
60 0.50762939 0.0 1.00638265 0.0 0.0 9e-05 0.99647
61 0.50659114 0.0 1.00667595 0.0 0.0 0.0001 0.99673
62 0.50538269 0.0 1.00695788 0.0 0.0 0.0001 0.99699
63 0.50672802 0.0 1.00724378 0.0 0.0 0.0001 0.99717
64 0.5075654 0.0 1.0075225 0.0 0.0 0.0001 0.99742
65 0.5082965 0.0 1.0078082 0.0 0.0 0.0001 0.99761
66 0.50679925 0.0 1.00809116 0.0 0.0 0.0001 0.99782
67 0.50764475 0.0 1.00835053 0.0 0.0 0.0001 0.99793
68 0.50715154 0.0 1.00861969 0.0 0.0 0.0001 0.99813
69 0.50833908 0.0 1.00890027 0.0 0.0 0.00011 0.99829
70 0.50652427 0.0 1.00915749 0.0 0.0 0.00011 0.99839
71 0.5076373 0.0 1.00942692 0.0 0.0 0.00012 0.99842
72 0.50793516 0.0 1.00968815 0.0 0.0 0.00013 0.99857
73 0.50747164 0.0 1.00994359 0.0 0.0 0.00016 0.99864
74 0.50837164 0.0 1.01020295 0.0 0.0 0.00018 0.99873
75 0.50690423 0.0 1.01044294 0.0 0.0 0.0002 0.99882
76 0.50736471 0.0 1.01069711 0.0 0.0 0.0002 0.99887
77 0.50778171 0.0 1.01094468 0.0 0.0 0.00022 0.99891
78 0.50910935 0.0 1.01119397 0.0 0.0 0.00023 0.99895
79 0.5084464 0.0 1.01144321 0.0 0.0 0.00023 0.99901
80 0.5106546 0.0 1.01168437 0.0 0.0 0.00025 0.99903
81 0.50894136 0.0 1.0119398 0.0 0.0 0.00025 0.99909
82 0.50902614 0.0 1.01218375 0.0 0.0 0.00026 0.99915
83 0.50889908 0.0 1.01243094 0.0 0.0 0.00027 0.99916
84 0.50988306 0.0 1.01268103 0.0 0.0 0.00028 0.9992
85 0.5111165 0.0 1.01291774 0.0 0.0 0.00029 0.99927
86 0.51102866 0.0 1.01314762 0.0 0.0 0.00029 0.99929
87 0.50774531 0.0 1.01336328 0.0 0.0 0.00033 0.99928
88 0.50827265 0.0 1.01359202 0.0 0.0 0.00033 0.99931
89 0.50972146 0.0 1.01380618 0.0 0.0 0.00034 0.99934
90 0.5085242 0.0 1.0140414 0.0 0.0 0.00036 0.99938
91 0.50925048 0.0 1.01427183 0.0 0.0 0.00037 0.99939
92 0.5085955 0.0 1.01449207 0.0 0.0 0.00042 0.99936
93 0.51070697 0.0 1.01471101 0.0 0.0 0.00042 0.99938
94 0.51140239 0.0 1.01494071 0.0 0.0 0.00044 0.99939
95 0.51094186 0.0 1.01517098 0.0 0.0 0.0005 0.99933
96 0.51042072 0.0 1.01540094 0.0 0.0 0.00054 0.99932
97 0.50958798 0.0 1.0156225 0.0 0.0 0.00055 0.99933
98 0.51050526 0.0 1.01584405 0.0 0.0 0.00056 0.99935
99 0.51069471 0.0 1.01607009 0.0 0.0 0.00057 0.99934
100 0.51040577 0.0 1.01629302 0.0 0.0 0.00063 0.99929
101 0.51046663 0.0 1.01650488 0.0 0.0 0.00067 0.99925
102 0.51282654 0.0 1.01672107 0.0 0.0 0.00068 0.99925
103 0.51034253 0.0 1.01692661 0.0 0.0 0.00071 0.99922
104 0.50993406 0.0 1.01714681 0.0 0.0 0.00077 0.99918
105 0.51284435 0.0 1.0173625 0.0 0.0 0.00081 0.99914
106 0.51359298 0.0 1.01757786 0.0 0.0 0.00082 0.99914
107 0.51036045 0.0 1.01780643 0.0 0.0 0.00087 0.99909
108 0.51094324 0.0 1.01801729 0.0 0.0 0.00091 0.99905
109 0.50877231 0.0 1.01822628 0.0 0.0 0.00099 0.99897
110 0.51109374 0.0 1.01844476 0.0 0.0 0.00105 0.99891
111 0.51124785 0.0 1.01866183 0.0 0.0 0.00107 0.99889
112 0.51259771 0.0 1.01887483 0.0 0.0 0.00112 0.99885
113 0.51017912 0.0 1.01909136 0.0 0.0 0.00119 0.99879
114 0.51301701 0.0 1.01930499 0.0 0.0 0.00123 0.99875
115 0.51005916 0.0 1.01951123 0.0 0.0 0.00128 0.9987
116 0.51265721 0.0 1.01972015 0.0 0.0 0.00132 0.99866
117 0.51287372 0.0 1.01993172 0.0 0.0 0.00137 0.99861
118 0.51214452 0.0 1.02015066 0.0 0.0 0.00143 0.99855
119 0.51265105 0.0 1.02036553 0.0 0.0 0.00153 0.99845
120 0.51329457 0.0 1.02057326 0.0 0.0 0.00164 0.99834
121 0.51241805 0.0 1.02078679 0.0 0.0 0.00176 0.99822
122 0.51251781 0.0 1.0209971 0.0 0.0 0.00184 0.99814
123 0.51290454 0.0 1.02119982 0.0 0.0 0.00193 0.99805
124 0.51276372 0.0 1.0213987 0.0 0.0 0.00198 0.998
125 0.51255902 0.0 1.02160492 0.0 0.0 0.0021 0.99788
126 0.51282312 0.0 1.02180896 0.0 0.0 0.00214 0.99784
127 0.51445021 0.0 1.02201649 0.0 0.0 0.00219 0.99779
128 0.5129428 0.0 1.02221185 0.0 0.0 0.00224 0.99774
129 0.51335388 0.0 1.02242154 0.0 0.0 0.00239 0.99759
130 0.51189353 0.0 1.0226366 0.0 0.0 0.0025 0.99748
131 0.51473405 0.0 1.02284509 0.0 0.0 0.00259 0.99739
132 0.5131059 0.0 1.02304988 0.0 0.0 0.00269 0.99729
133 0.51285454 0.0 1.02326136 0.0 0.0 0.00276 0.99722
134 0.51281449 0.0 1.02346195 0.0 0.0 0.00289 0.99709
135 0.51231635 0.0 1.02365142 0.0 0.0 0.00301 0.99698
136 0.51396432 0.0 1.02384458 0.0 0.0 0.00314 0.99685
137 0.51454689 0.0 1.02405567 0.0 0.0 0.00333 0.99666
138 0.51457462 0.0 1.02426003 0.0 0.0 0.00343 0.99656
139 0.51372146 0.0 1.02446292 0.0 0.0 0.00356 0.99643
140 0.51517105 0.0 1.02467136 0.0 0.0 0.00375 0.99624
141 0.51411328 0.0 1.0248715 0.0 0.0 0.00393 0.99606
142 0.51530981 0.0 1.02507237 0.0 0.0 0.00407 0.99592
143 0.51416945 0.0 1.02527322 0.0 0.0 0.00419 0.9958
144 0.51561133 0.0 1.02548318 0.0 0.0 0.00434 0.99566
145 0.51514956 0.0 1.02568412 0.0 0.0 0.00444 0.99556
146 0.51476104 0.0 1.02589935 0.0 0.0 0.00471 0.99529
147 0.51616387 0.0 1.02609685 0.0 0.0 0.0048 0.9952
148 0.51531269 0.0 1.0263051 0.0 0.0 0.00503 0.99497
149 0.51542696 0.0 1.02650747 0.0 0.0 0.00515 0.99485
150 0.51472091 0.0 1.02670962 0.0 0.0 0.00536 0.99464
151 0.51518169 0.0 1.02691746 0.0 0.0 0.00564 0.99436
152 0.51500646 0.0 1.0271223 0.0 0.0 0.00588 0.99412
153 0.51725103 0.0 1.02732043 0.0 0.0 0.00602 0.99398
154 0.51670295 0.0 1.02752134 0.0 0.0 0.00618 0.99382
155 0.51564931 0.0 1.02771698 0.0 0.0 0.00645 0.99355
156 0.51710896 0.0 1.02792571 0.0 0.0 0.00675 0.99325
157 0.51597679 0.0 1.02812257 0.0 0.0 0.00695 0.99305
158 0.5157401 0.0 1.02832625 0.0 0.0 0.00724 0.99276
159 0.51792469 0.0 1.02852409 0.0 0.0 0.00758 0.99242
160 0.51688565 0.0 1.028714 0.0 0.0 0.00794 0.99206
161 0.51521384 0.0 1.02890963 0.0 0.0 0.00821 0.99179
162 0.51514502 0.0 1.02910999 0.0 0.0 0.00853 0.99147
163 0.51790257 0.0 1.029319 0.0 0.0 0.00881 0.99119
164 0.51610898 0.0 1.02951609 0.0 0.0 0.00917 0.99083
165 0.51730391 0.0 1.02972079 0.0 0.0 0.00957 0.99043
166 0.51890072 0.0 1.02992528 0.0 0.0 0.00982 0.99018
167 0.51736946 0.0 1.03011969 0.0 0.0 0.01015 0.98985
168 0.51758962 0.0 1.03032845 0.0 0.0 0.01051 0.98949
169 0.51886984 0.0 1.03053613 0.0 0.0 0.01092 0.98908
170 0.51717706 0.0 1.03072742 0.0 0.0 0.01138 0.98862
171 0.51733711 0.0 1.03092645 0.0 0.0 0.01164 0.98836
172 0.51719816 0.0 1.03112552 0.0 0.0 0.012 0.988
173 0.51804991 0.0 1.03131817 0.0 0.0 0.01237 0.98763
174 0.51647489 0.0 1.03151438 0.0 0.0 0.01289 0.98711
175 0.51691743 0.0 1.031709 0.0 0.0 0.01338 0.98662
176 0.5203918 0.0 1.03191597 0.0 0.0 0.01378 0.98622
177 0.51837605 0.0 1.03211479 0.0 0.0 0.01421 0.98579
178 0.51808104 0.0 1.0323173 0.0 0.0 0.01472 0.98528
179 0.51991978 0.0 1.03252803 0.0 0.0 0.01531 0.98469
180 0.51831256 0.0 1.03273536 0.0 0.0 0.01593 0.98407
181 0.51911282 0.0 1.03293134 0.0 0.0 0.01654 0.98346
182 0.5187975 0.0 1.0331347 0.0 0.0 0.01699 0.98301
183 0.51798721 0.0 1.03333567 0.0 0.0 0.0176 0.9824
184 0.51915987 0.0 1.03353225 0.0 0.0 0.0181 0.9819
185 0.51947403 0.0 1.03373047 0.0 0.0 0.01866 0.98134
186 0.518724 0.0 1.03392576 0.0 0.0 0.01923 0.98077
187 0.51923679 0.0 1.03413409 0.0 0.0 0.01981 0.98019
188 0.52130327 0.0 1.03433927 0.0 0.0 0.02049 0.97951
189 0.51847368 0.0 1.03453502 0.0 0.0 0.02117 0.97883
190 0.52012685 0.0 1.03473509 0.0 0.0 0.02184 0.97816
191 0.51913699 0.0 1.03493409 0.0 0.0 0.02267 0.97733
192 0.52111735 0.0 1.03513863 0.0 0.0 0.02347 0.97653
193 0.51922531 0.0 1.03534546 0.0 0.0 0.02427 0.97573
194 0.51956659 0.0 1.03554602 0.0 0.0 0.02491 0.97509
195 0.51993777 0.0 1.03575178 0.0 0.0 0.02581 0.97419
196 0.51804869 0.0 1.03594043 0.0 0.0 0.02666 0.97334
197 0.51857159 0.0 1.03614653 0.0 0.0 0.02756 0.97244
198 0.51962176 0.0 1.03633269 0.0 0.0 0.02815 0.97185
