 baseline_total baseline_best total the_best top_95 top_90 top_80
1 0.4819 0.0 0.7568 0.07 0.14 0.13 0.21
2 0.4947 0.0 0.8443999999999999 0.11 0.22 0.11 0.26
3 0.535 0.01 0.8824 0.13 0.3 0.17 0.23
4 0.5083 0.01 0.9029 0.15 0.34 0.18 0.2
5 0.544 0.0 0.9185 0.16 0.42 0.16 0.17
6 0.4916 0.0 0.9269 0.17 0.44 0.16 0.16
7 0.49950000000000006 0.01 0.9307 0.18 0.44 0.18 0.13
8 0.48090000000000005 0.0 0.9364 0.21 0.46 0.16 0.11
9 0.5068 0.02 0.9355 0.21 0.47 0.15 0.09
10 0.556 0.0 0.9467 0.24 0.49 0.14 0.08
11 0.4794 0.03 0.9317 0.21 0.52 0.12 0.07
12 0.4664 0.01 0.9314 0.22 0.5 0.12 0.07
13 0.504 0.0 0.9333 0.22 0.51 0.14 0.04
14 0.5059 0.0 0.934 0.22 0.51 0.14 0.04
15 0.525 0.01 0.9331 0.24 0.48 0.14 0.04
16 0.49 0.0 0.9347 0.28 0.45 0.13 0.04
17 0.5577000000000001 0.0 0.9368000000000001 0.31 0.44 0.11 0.04
18 0.5177 0.01 0.9308 0.3 0.44 0.11 0.04
19 0.5207999999999999 0.0 0.9322 0.33 0.43 0.09 0.04
20 0.5081 0.02 0.9177 0.32 0.43 0.09 0.03
21 0.5236 0.02 0.905 0.31 0.42 0.1 0.02
22 0.5555 0.0 0.9057999999999999 0.33 0.41 0.1 0.01
23 0.4789 0.01 0.9037000000000001 0.32 0.43 0.09 0.0
24 0.5401 0.01 0.902 0.33 0.42 0.08 0.0
25 0.4606 0.01 0.8948 0.33 0.42 0.07 0.0
26 0.4938 0.02 0.8848 0.33 0.41 0.06 0.0
27 0.498 0.0 0.8852 0.34 0.4 0.06 0.0
28 0.45299999999999996 0.01 0.8779 0.35 0.4 0.04 0.0
29 0.502 0.01 0.8697 0.36 0.38 0.04 0.0
30 0.5324 0.02 0.8614 0.34 0.38 0.04 0.0
31 0.5183 0.02 0.8512000000000001 0.34 0.36 0.04 0.0
32 0.49060000000000004 0.0 0.8514 0.36 0.34 0.04 0.0
33 0.5014 0.02 0.8419 0.37 0.32 0.03 0.0
34 0.5289 0.02 0.8328 0.36 0.32 0.02 0.0
35 0.4963 0.03 0.8291 0.33 0.33 0.01 0.0
36 0.48350000000000004 0.01 0.8245 0.33 0.32 0.01 0.0
37 0.5642 0.01 0.8184999999999999 0.34 0.3 0.01 0.0
38 0.5158 0.0 0.8189 0.35 0.29 0.01 0.0
39 0.4628 0.0 0.8189 0.35 0.29 0.01 0.0
40 0.4868 0.01 0.8108 0.35 0.28 0.01 0.0
41 0.5063 0.0 0.8109999999999999 0.36 0.27 0.01 0.0
42 0.5174 0.02 0.8026000000000001 0.34 0.27 0.01 0.0
43 0.5036 0.01 0.7968000000000001 0.34 0.26 0.01 0.0
44 0.5099 0.02 0.7909999999999999 0.32 0.26 0.01 0.0
45 0.47850000000000004 0.0 0.7912 0.32 0.26 0.01 0.0
46 0.5085000000000001 0.0 0.7914 0.33 0.25 0.01 0.0
47 0.5857 0.01 0.7877 0.32 0.25 0.01 0.0
48 0.507 0.0 0.7881 0.33 0.24 0.01 0.0
49 0.5175 0.02 0.7798999999999999 0.33 0.22 0.01 0.0
50 0.4866 0.0 0.7803 0.36 0.19 0.01 0.0
51 0.4818 0.02 0.7735 0.35 0.18 0.01 0.0
52 0.4579 0.0 0.7737999999999999 0.36 0.17 0.01 0.0
53 0.4839 0.01 0.765 0.35 0.17 0.01 0.0
54 0.49369999999999997 0.01 0.7562000000000001 0.34 0.17 0.01 0.0
55 0.48350000000000004 0.01 0.7558 0.33 0.17 0.01 0.0
56 0.5468999999999999 0.0 0.7562000000000001 0.35 0.15 0.01 0.0
57 0.5014 0.0 0.7563 0.36 0.14 0.01 0.0
58 0.5124 0.01 0.754 0.37 0.12 0.01 0.0
59 0.5155 0.02 0.7404000000000001 0.35 0.12 0.01 0.0
60 0.46130000000000004 0.01 0.7345 0.35 0.11 0.01 0.0
61 0.4926 0.01 0.7334 0.34 0.11 0.01 0.0
62 0.478 0.0 0.7334999999999999 0.35 0.1 0.01 0.0
63 0.5152 0.0 0.7334999999999999 0.35 0.1 0.01 0.0
64 0.47100000000000003 0.0 0.7334999999999999 0.35 0.1 0.01 0.0
65 0.5005 0.0 0.7343999999999999 0.36 0.1 0.0 0.0
66 0.4646 0.01 0.7273999999999999 0.35 0.1 0.0 0.0
67 0.49090000000000006 0.02 0.7131000000000001 0.34 0.09 0.0 0.0
68 0.4533 0.03 0.6970000000000001 0.32 0.08 0.0 0.0
69 0.502 0.03 0.6901999999999999 0.3 0.07 0.0 0.0
70 0.4993 0.0 0.6906 0.33 0.04 0.0 0.0
71 0.5095000000000001 0.01 0.6883 0.32 0.04 0.0 0.0
72 0.5153 0.01 0.6835 0.32 0.03 0.0 0.0
73 0.5825 0.01 0.6807 0.32 0.02 0.0 0.0
74 0.48090000000000005 0.0 0.6807 0.32 0.02 0.0 0.0
75 0.5092 0.0 0.6807 0.32 0.02 0.0 0.0
76 0.4445 0.01 0.6738 0.31 0.02 0.0 0.0
77 0.5579 0.03 0.652 0.28 0.02 0.0 0.0
78 0.5033 0.0 0.6520999999999999 0.29 0.01 0.0 0.0
79 0.5103 0.03 0.629 0.26 0.01 0.0 0.0
80 0.5623 0.01 0.6224000000000001 0.25 0.01 0.0 0.0
81 0.5527000000000001 0.02 0.6152000000000001 0.23 0.01 0.0 0.0
82 0.4365 0.01 0.6054999999999999 0.22 0.01 0.0 0.0
83 0.5332 0.01 0.6028 0.21 0.01 0.0 0.0
84 0.48729999999999996 0.03 0.5952000000000001 0.18 0.01 0.0 0.0
85 0.4777 0.01 0.5885 0.17 0.01 0.0 0.0
86 0.5025 0.02 0.5832999999999999 0.15 0.01 0.0 0.0
87 0.5344 0.0 0.5832999999999999 0.15 0.01 0.0 0.0
88 0.5155 0.02 0.5649000000000001 0.13 0.01 0.0 0.0
89 0.4664 0.01 0.5593 0.12 0.01 0.0 0.0
90 0.457 0.0 0.5593 0.12 0.01 0.0 0.0
91 0.5408 0.01 0.5562 0.11 0.01 0.0 0.0
92 0.4667 0.01 0.5549000000000001 0.1 0.01 0.0 0.0
93 0.5339 0.01 0.5498 0.09 0.01 0.0 0.0
94 0.5554 0.03 0.5334 0.06 0.01 0.0 0.0
95 0.5133 0.02 0.5192 0.04 0.01 0.0 0.0
96 0.5214 0.01 0.5094 0.04 0.0 0.0 0.0
97 0.5534 0.01 0.5061 0.03 0.0 0.0 0.0
98 0.5014 0.01 0.4963 0.02 0.0 0.0 0.0
99 0.5001 0.01 0.4878 0.01 0.0 0.0 0.0
100 0.4878 0.01 0.4878 0.01 0.0 0.0 0.0
